territory,gender,birthdate,ypc,current_premium,indicated_premium,selected_premium,underlying_premium,fixed_expenses,underlying_total_premium,cgr_factor,cgr
601,M,9/26/1977,1,1114.15,1226.09,1169.73,1007.01,147.58,1154.59,1.02,YNG
601,F,3/24/1979,1,2219.99,1136.29,2212.01,2201.54,218.98,2420.52,0.91,D7G
601,M,9/3/1980,1,735.37,700.69,732.88,532.18,195.38,727.56,1.01,W5X
601,M,1/13/1981,1,472.56,503.66,494.68,324.35,152.08,476.43,1.06,3YN
601,M,1/29/1981,1,1527.99,1241.87,1523.25,1519.60,147.58,1667.18,0.91,D7G
601,M,2/2/1981,1,1219.22,1164.13,1214.58,1215.65,114.07,1329.72,0.91,D7G
601,M,11/2/1982,1,410.06,450.00,429.25,284.15,152.08,436.23,0.98,KON
601,M,2/23/1983,1,623.80,443.06,622.77,447.65,147.58,595.23,1.06,6NS
601,M,12/21/1983,1,1378.58,2381.21,1444.27,1231.30,156.58,1387.88,1.05,DGY
601,M,9/9/1984,1,625.46,711.93,655.43,448.45,147.58,596.03,1.13,096
601,F,9/15/1985,1,925.42,1458.04,968.84,825.05,175.98,1001.03,0.96,MPY
601,F,12/25/1985,1,433.52,322.83,432.61,314.85,147.58,462.43,0.91,D7G
601,M,7/26/1987,1,1202.43,1463.46,1257.23,1029.85,147.58,1177.43,1.08,QLV
601,F,3/4/1988,1,2897.88,5222.37,3463.70,2952.85,152.87,3105.72,1.12,I85
601,F,4/3/1988,1,543.08,587.78,569.84,405.83,173.98,579.81,0.98,KON
601,M,6/13/1988,1,1503.13,1502.87,1504.24,1271.69,147.58,1419.27,1.07,BA2
601,M,12/15/1988,1,987.75,716.98,986.57,904.00,147.58,1051.58,0.93,AUR
601,M,5/10/1989,1,1538.16,2040.40,1610.06,1360.00,187.78,1547.78,1.05,DGY
601,F,7/9/1991,1,607.39,935.34,635.49,579.70,81.17,660.87,0.96,Z2D
601,M,11/7/1991,1,896.86,565.32,895.08,732.77,147.58,880.35,1.02,ZHK
601,F,10/24/1937,2,576.08,725.32,604.19,430.35,175.98,606.33,1.00,XHZ
601,M,5/18/1961,2,1399.58,762.32,1395.86,1352.48,171.48,1523.96,0.91,D7G
601,M,5/28/1961,2,1239.12,557.24,1238.83,1090.57,81.17,1171.74,1.06,6NS
601,F,1/27/1962,2,1198.29,794.04,1196.39,1059.30,147.58,1206.88,0.99,Z20
601,M,7/30/1963,2,1128.59,772.65,1124.50,1152.49,81.17,1233.66,0.91,D7G
601,M,7/3/1964,2,1296.36,647.79,1291.01,1050.41,175.98,1226.39,1.06,6NS
601,F,11/4/1967,2,801.16,781.41,799.04,693.22,171.48,864.70,0.91,D7G
601,M,2/29/1968,2,761.24,746.65,761.13,577.99,147.58,725.57,1.06,6NS
601,M,4/1/1968,2,1272.34,1116.51,1268.51,1065.02,137.97,1202.99,1.06,6NS
601,M,10/31/1969,2,2095.32,2377.91,2190.84,1889.00,165.58,2054.58,1.07,FKQ
601,M,2/12/1970,2,1032.29,764.17,1029.07,947.31,171.48,1118.79,0.91,D7G
601,M,4/5/1970,2,2011.42,1737.03,2002.16,2008.96,81.17,2090.13,0.96,Z2D
601,M,5/15/1973,2,2484.38,3032.73,2978.50,2141.75,204.38,2346.13,1.30,DFY
601,M,4/28/1980,2,2069.55,2300.10,2171.41,2116.51,147.58,2264.09,0.96,Z2D
601,M,12/10/1981,2,777.62,576.03,775.07,591.12,147.58,738.70,1.06,6NS
601,M,4/28/1984,2,458.03,542.19,480.71,311.47,150.08,461.55,1.06,6NS
601,F,2/27/1985,2,384.16,398.20,398.05,260.64,147.58,408.22,0.96,MPY
601,M,8/7/1986,2,970.82,1210.35,1019.35,902.67,147.58,1050.25,0.97,PUY
601,M,9/6/1986,2,439.64,406.50,439.42,320.77,147.58,468.35,0.91,JRZ
601,M,5/11/1988,2,2145.93,1404.18,2141.19,1878.07,147.58,2025.65,1.06,6NS
601,M,9/2/1989,2,832.58,751.24,830.96,634.92,183.28,818.20,1.02,ZHK
601,F,3/12/1954,3,826.27,862.96,859.97,614.05,171.48,785.53,1.12,I85
601,M,3/21/1954,3,2582.06,1711.40,2572.41,2267.34,165.58,2432.92,1.06,6NS
601,M,5/4/1955,3,2538.01,2165.46,2531.01,2553.03,161.57,2714.60,0.93,AUR
601,M,12/11/1956,3,1056.05,1090.19,1087.48,889.11,175.98,1065.09,1.03,YNT
601,F,7/31/1959,3,1235.08,1009.33,1230.39,993.30,175.98,1169.28,1.06,6NS
601,M,2/28/1960,3,534.13,567.87,559.28,391.00,175.98,566.98,0.98,0UZ
601,M,2/12/1961,3,437.21,352.64,436.99,311.83,147.58,459.41,0.93,AUR
601,F,6/3/1963,3,842.08,604.26,839.21,759.02,152.08,911.10,0.91,D7G
601,M,7/22/1963,3,1751.82,1337.16,1745.32,1815.61,101.67,1917.28,0.91,D7G
601,M,12/4/1966,3,541.55,523.43,540.96,370.58,147.58,518.16,1.06,6NS
601,F,5/15/1968,3,2668.01,2849.69,2801.28,2382.12,130.37,2512.49,1.12,I85
601,M,8/12/1969,3,2169.30,3573.24,2594.30,1959.66,81.17,2040.83,1.28,GG4
601,M,12/2/1969,3,1546.43,2477.57,1617.07,1463.00,94.67,1557.67,1.04,S0J
601,F,2/25/1970,3,2849.66,2654.12,2841.13,3019.00,108.07,3127.07,0.91,D7G
601,M,7/22/1976,3,929.02,1054.86,973.24,758.57,175.98,934.55,1.05,JDN
601,F,12/6/1977,3,1948.25,1715.25,1942.66,1977.91,152.08,2129.99,0.91,D7G
601,F,2/1/1978,3,583.85,717.45,612.08,394.63,180.48,575.11,1.09,EKR
601,F,7/24/1978,3,1246.01,1558.18,1305.90,1150.93,199.88,1350.81,0.96,MPY
601,M,11/22/1979,3,1814.96,1204.08,1813.30,1538.99,171.48,1710.47,1.07,BA2
601,M,2/23/1980,3,1037.21,689.04,1034.62,979.84,147.58,1127.42,0.91,D7G
601,M,12/1/1980,3,1029.53,1460.60,1079.54,839.50,147.58,987.08,1.11,23Q
601,M,2/2/1981,3,932.05,1180.92,977.61,760.66,128.97,889.63,1.12,IE8
601,M,9/19/1982,3,1311.89,1300.77,1307.70,1250.12,175.98,1426.10,0.91,D7G
601,F,1/1/1984,3,1037.45,1047.85,1046.79,947.67,175.98,1123.65,0.92,KG4
601,M,2/8/1986,3,841.86,627.80,839.75,764.59,147.58,912.17,0.91,D7G
601,F,3/21/1987,3,1913.67,1576.23,1908.53,1712.98,90.17,1803.15,1.06,6NS
601,M,4/16/1988,3,651.69,1074.06,683.85,499.78,171.48,671.26,1.03,YNT
601,F,4/4/1928,4,804.04,931.76,841.18,614.30,175.98,790.28,1.08,4ZR
601,M,9/28/1946,4,594.53,391.73,594.27,518.23,81.17,599.40,0.99,Z20
601,M,11/14/1960,4,1771.63,1761.02,1766.52,1516.75,219.28,1736.03,1.02,ZHK
601,M,7/23/1962,4,1294.07,805.32,1290.00,1308.90,105.07,1413.97,0.91,D7G
601,F,6/9/1965,4,608.11,387.97,606.27,506.68,147.58,654.26,0.91,D7G
601,M,12/4/1965,4,685.96,801.90,719.82,592.52,147.58,740.10,0.97,PUY
601,M,2/10/1966,4,1151.65,978.92,1146.96,1068.11,94.67,1162.78,0.99,XHO
601,F,8/1/1966,4,789.62,762.01,787.58,685.97,166.58,852.55,0.91,D7G
601,M,11/12/1966,4,665.69,799.66,698.74,448.46,190.88,639.34,1.13,096
601,M,8/2/1967,4,1103.26,1016.42,1103.24,1029.75,166.37,1196.12,0.91,JRZ
601,M,8/22/1969,4,1234.70,1381.40,1292.10,1006.36,163.74,1170.10,1.12,I85
601,F,11/4/1969,4,2195.40,2022.33,2193.39,2005.50,147.58,2153.08,1.02,ZHK
601,M,8/28/1970,4,667.32,905.73,698.27,491.15,147.58,638.73,1.12,I85
601,M,2/22/1976,4,1127.89,1425.71,1180.35,962.04,68.99,1031.03,1.16,QB0
601,M,2/14/1978,4,1638.52,1939.76,1712.84,1451.55,156.58,1608.13,1.07,FKQ
601,F,1/26/1979,4,725.66,1257.22,760.68,520.29,171.48,691.77,1.13,096
601,F,1/4/1980,4,545.73,488.38,544.46,405.64,156.58,562.22,0.96,Z2D
601,M,6/8/1980,4,643.07,625.68,641.45,456.30,175.98,632.28,1.02,ZHK
601,M,12/31/1980,4,672.12,1050.06,705.61,552.27,169.58,721.85,0.97,QN5
601,M,7/26/1983,4,1590.62,1881.96,1669.71,1474.31,81.17,1555.48,1.08,QLV
601,F,1/19/1925,5,395.37,322.28,394.61,208.02,175.98,384.00,1.05,JDN
601,F,2/13/1927,5,1106.08,875.73,1104.91,1119.65,81.17,1200.82,0.91,LCA
601,M,3/30/1929,5,806.02,705.61,803.03,724.03,147.58,871.61,0.91,D7G
601,M,1/31/1934,5,552.60,400.54,551.39,443.84,147.58,591.42,0.91,JRZ
601,M,2/12/1936,5,830.77,594.30,830.64,612.48,180.48,792.96,1.06,6NS
601,M,3/19/1936,5,871.76,986.42,914.02,626.64,204.38,831.02,1.13,096
601,M,5/27/1937,5,1470.69,1337.17,1465.64,1529.32,81.17,1610.49,0.91,D7G
601,M,5/30/1939,5,1185.19,586.13,1181.65,1130.95,147.58,1278.53,0.91,LCA
601,M,12/8/1941,5,411.39,292.17,411.14,248.29,147.58,395.87,1.06,6NS
601,F,4/2/1942,5,482.92,371.18,482.84,342.23,171.48,513.71,0.91,JRZ
601,F,1/30/1943,5,1761.01,1484.02,1757.41,1562.14,99.17,1661.31,1.06,6NS
601,M,4/17/1943,5,1030.86,749.82,1026.89,813.89,171.48,985.37,1.05,JDN
601,F,6/9/1943,5,1292.74,1259.38,1288.00,1333.09,81.17,1414.26,0.91,D7G
601,M,11/21/1944,5,1366.66,1262.83,1363.13,1409.05,81.17,1490.22,0.91,JRZ
601,M,3/12/1945,5,635.19,505.41,633.49,453.51,152.08,605.59,1.06,6NS
601,F,3/20/1945,5,1179.56,1093.18,1175.63,1104.23,175.98,1280.21,0.91,D7G
601,M,9/2/1945,5,682.30,684.08,682.59,504.00,147.58,651.58,1.06,6NS
601,F,10/7/1945,5,844.41,520.94,841.96,652.86,175.98,828.84,1.02,ZHK
601,M,8/12/1946,5,783.55,275.71,780.51,699.15,147.58,846.73,0.91,D7G
601,F,11/12/1946,5,954.11,617.29,952.80,877.32,84.17,961.49,0.99,Z20
601,M,4/1/1947,5,1122.95,783.93,1121.59,991.77,219.28,1211.05,0.91,JRZ
601,M,6/8/1947,5,397.67,421.53,416.55,269.79,152.08,421.87,0.98,0UZ
601,M,6/23/1947,5,863.08,401.31,861.58,784.79,147.58,932.37,0.91,JRZ
601,F,1/21/1948,5,979.38,842.04,977.00,731.80,200.18,931.98,1.06,6NS
601,M,3/3/1948,5,779.45,538.34,777.97,540.35,204.38,744.73,1.06,6NS
601,F,6/5/1948,5,367.34,278.05,367.26,236.51,152.08,388.59,0.91,JRZ
601,F,12/12/1948,5,925.61,824.17,923.55,732.84,175.98,908.82,1.02,ZHK
601,F,1/28/1949,5,757.87,605.44,755.67,640.34,175.98,816.32,0.91,D7G
601,F,3/16/1949,5,2133.72,2585.07,2558.76,1793.16,224.57,2017.73,1.30,EN6
601,F,7/23/1949,5,1487.58,1790.38,1557.53,1383.01,201.77,1584.78,0.98,0UZ
601,F,3/20/1950,5,659.79,647.82,658.99,455.02,175.98,631.00,1.06,6NS
601,F,4/9/1950,5,668.19,573.85,667.81,516.69,195.38,712.07,0.91,LCA
601,M,7/19/1950,5,538.10,542.95,541.31,397.57,175.98,573.55,0.92,KG4
601,M,6/15/1951,5,969.71,1023.43,1016.17,761.70,166.37,928.07,1.12,IE8
601,F,9/11/1951,5,937.34,1030.59,983.32,938.78,81.17,1019.95,0.96,MPY
601,F,3/9/1952,5,968.50,714.93,967.08,834.57,81.17,915.74,1.06,6NS
601,F,11/6/1952,5,699.25,562.52,699.19,497.13,171.48,668.61,1.06,6NS
601,M,2/24/1953,5,789.15,710.68,787.85,606.17,147.58,753.75,1.06,3YN
601,M,9/3/1953,5,970.26,1057.34,1018.52,793.37,128.97,922.34,1.12,I85
601,M,1/15/1954,5,333.31,295.70,332.49,204.26,147.58,351.84,0.91,D7G
601,M,1/28/1954,5,864.63,975.63,904.83,861.38,81.17,942.55,0.96,Z2D
601,F,3/5/1954,5,523.54,384.26,521.72,413.28,147.58,560.86,0.91,D7G
601,F,5/8/1954,5,2694.92,2942.62,2822.34,2708.15,232.78,2940.93,0.96,Z2D
601,F,5/15/1954,5,2130.35,1877.21,2127.75,1937.53,161.08,2098.61,1.02,YNG
601,M,10/28/1954,5,1920.27,1532.87,1915.60,1785.70,147.58,1933.28,0.99,Z20
601,F,5/8/1955,5,749.44,788.90,785.15,698.33,114.07,812.40,0.96,MPY
601,F,7/21/1955,5,812.29,974.40,852.32,597.24,175.98,773.22,1.13,096
601,M,7/23/1955,5,1575.15,964.09,1570.54,1571.83,147.58,1719.41,0.91,D7G
601,M,10/25/1955,5,5044.66,3603.46,5031.20,5261.34,268.18,5529.52,0.91,D7G
601,M,11/18/1955,5,2255.67,3842.14,2702.15,2218.59,239.22,2457.81,1.11,23Q
601,M,12/31/1955,5,2137.15,1556.26,2129.47,1784.58,235.10,2019.68,1.06,6NS
601,M,2/18/1956,5,758.11,662.09,758.04,743.97,81.17,825.14,0.91,JRZ
601,F,7/30/1956,5,1404.44,2095.95,1471.43,1309.13,213.38,1522.51,0.96,MPY
601,F,9/4/1956,5,375.34,324.45,374.34,250.48,147.58,398.06,0.91,D7G
601,F,7/27/1957,5,1623.32,1875.78,1700.64,1634.23,137.97,1772.20,0.96,Z2D
601,F,11/12/1957,5,877.17,664.04,874.84,771.98,175.98,947.96,0.91,D7G
601,M,2/7/1958,5,693.25,674.89,691.35,569.29,175.98,745.27,0.91,D7G
601,M,2/14/1958,5,2746.01,2952.34,2879.93,2782.81,218.98,3001.79,0.96,Z2D
601,M,2/25/1958,5,1011.57,1396.28,1060.06,1023.72,81.17,1104.89,0.96,Z2D
601,M,3/10/1958,5,1309.53,1767.74,1370.56,1239.08,81.17,1320.25,1.04,S0J
601,M,6/8/1958,5,734.49,1198.68,769.38,551.82,147.58,699.40,1.13,2DQ
601,F,6/23/1958,5,890.68,774.95,889.69,773.86,171.48,945.34,0.93,AUR
601,M,8/8/1958,5,1342.81,2422.12,1404.78,1129.03,188.27,1317.30,1.08,QLV
601,M,11/18/1958,5,999.36,1047.84,1043.70,864.88,148.17,1013.05,1.04,146
601,F,1/7/1959,5,1494.84,1475.27,1493.18,1472.11,147.17,1619.28,0.91,LCA
601,F,2/21/1959,5,621.12,604.25,618.84,441.90,152.08,593.98,1.06,3YN
601,F,3/3/1959,5,940.60,826.94,937.61,819.88,195.38,1015.26,0.91,D7G
601,F,5/4/1959,5,588.83,687.82,616.06,544.53,90.17,634.70,0.97,PUY
601,M,7/2/1959,5,519.66,342.54,518.66,409.90,147.58,557.48,0.91,D7G
601,M,7/6/1959,5,881.67,1208.36,922.28,811.47,142.47,953.94,0.96,MPY
601,F,7/12/1959,5,1846.95,2043.71,1932.95,1857.86,147.58,2005.44,0.96,MPY
601,F,1/9/1960,5,690.57,1021.24,722.93,488.64,180.48,669.12,1.11,23Q
601,M,4/6/1960,5,2563.41,3186.03,3062.90,2199.67,241.97,2441.64,1.28,GG4
601,F,10/1/1960,5,933.33,769.83,933.28,727.45,161.08,888.53,1.06,6NS
601,F,11/23/1960,5,2162.00,1981.88,2155.18,2238.20,128.97,2367.17,0.91,D7G
601,F,12/24/1960,5,508.36,561.84,533.39,318.00,171.48,489.48,1.14,1BV
601,F,1/21/1961,5,962.88,814.38,959.73,874.47,168.08,1042.55,0.91,D7G
601,F,5/6/1961,5,628.47,733.95,659.76,425.08,175.98,601.06,1.14,1BV
601,F,5/22/1961,5,1827.91,1878.75,1873.30,1631.43,209.08,1840.51,1.02,ZHK
601,F,7/29/1961,5,929.78,834.05,926.71,683.86,204.38,888.24,1.06,3YN
601,F,9/11/1961,5,291.64,315.82,305.68,136.18,147.58,283.76,1.16,NBP
601,F,10/16/1961,5,499.22,437.36,497.86,386.93,147.58,534.51,0.91,D7G
601,M,12/27/1961,5,597.67,875.84,627.12,402.35,171.48,573.83,1.13,096
601,F,3/5/1962,5,772.15,589.58,768.86,759.64,81.17,840.81,0.91,D7G
601,F,3/28/1962,5,1896.86,2193.30,1986.50,1992.58,81.17,2073.75,0.96,Z2D
601,F,5/7/1962,5,1879.82,1322.33,1872.63,1706.70,327.58,2034.28,0.91,D7G
601,M,8/16/1962,5,1648.37,2122.39,1729.18,1427.19,128.97,1556.16,1.12,I85
601,M,8/17/1962,5,709.98,573.23,708.81,687.53,89.49,777.02,0.90,BSK
601,F,1/13/1963,5,546.09,407.21,543.77,534.14,40.59,574.73,0.94,CBY
601,M,1/19/1963,5,2625.92,3849.02,3145.84,2653.22,215.03,2868.25,1.10,QMY
601,F,1/23/1963,5,1137.49,1368.85,1192.53,1009.26,105.07,1114.33,1.08,QLV
601,M,2/20/1963,5,1176.88,1555.91,1235.22,1032.17,123.07,1155.24,1.08,QLV
601,F,6/4/1963,5,1192.45,1044.52,1191.82,1127.35,81.17,1208.52,0.99,XHO
601,M,7/28/1963,5,668.90,564.17,667.80,595.45,81.17,676.62,0.99,XHO
601,M,8/4/1963,5,1166.82,1618.24,1220.02,1134.74,134.97,1269.71,0.96,Z2D
601,M,8/21/1963,5,1405.51,1587.81,1472.30,1288.81,233.78,1522.59,0.96,MPY
601,F,10/5/1963,5,1613.73,1543.19,1610.06,1417.77,105.07,1522.84,1.06,6NS
601,M,1/10/1964,5,1082.35,1662.51,1132.79,831.80,209.38,1041.18,1.11,23Q
601,F,1/28/1964,5,1842.22,2299.97,1928.64,1570.95,175.98,1746.93,1.12,IE8
601,M,3/8/1964,5,2305.52,1755.75,2299.85,1926.64,254.68,2181.32,1.06,6NS
601,M,10/7/1964,5,1218.10,894.44,1214.48,1178.52,147.58,1326.10,0.91,D7G
601,M,11/22/1964,5,1924.07,2046.92,2017.79,1843.76,99.17,1942.93,1.04,S0J
601,M,12/22/1964,5,1572.38,1268.79,1569.04,1509.85,195.38,1705.23,0.91,JRZ
601,M,2/3/1965,5,1794.37,2052.74,1883.29,1884.65,81.17,1965.82,0.96,Z2D
601,M,3/9/1965,5,1833.17,1438.79,1825.28,1782.90,211.24,1994.14,0.91,D7G
601,M,4/10/1965,5,844.75,605.55,842.31,657.73,147.58,805.31,1.06,3YN
601,M,6/20/1965,5,1360.09,1014.58,1355.64,1407.81,81.17,1488.98,0.91,D7G
601,F,7/24/1965,5,1816.07,855.05,1810.09,1836.44,147.58,1984.02,0.91,D7G
601,F,7/30/1965,5,1608.84,1514.00,1607.41,1558.40,161.08,1719.48,0.93,AUR
601,M,8/28/1965,5,693.75,609.64,691.48,642.79,109.57,752.36,0.91,D7G
601,F,8/30/1965,5,825.25,991.96,863.50,744.99,147.58,892.57,0.96,MPY
601,M,9/19/1965,5,1198.08,1246.43,1241.10,1155.03,147.58,1302.61,0.95,R2I
601,M,9/26/1965,5,902.60,725.22,901.11,706.43,180.48,886.91,1.02,ZHK
601,M,9/27/1965,5,1325.37,1036.30,1321.23,1065.89,195.38,1261.27,1.06,3YN
601,F,11/17/1965,5,1299.33,1812.32,1363.02,1303.46,104.17,1407.63,0.97,PUY
601,M,1/6/1966,5,610.15,1050.22,639.41,477.47,175.98,653.45,0.97,QN5
601,M,1/24/1966,5,693.17,554.75,690.71,593.33,153.58,746.91,0.91,D7G
601,M,4/11/1966,5,1830.29,1218.71,1826.45,1645.79,147.58,1793.37,1.02,ZHK
601,M,5/15/1966,5,1551.92,898.54,1547.44,1306.01,161.08,1467.09,1.06,6NS
601,F,5/29/1966,5,406.52,360.05,405.60,258.61,171.48,430.09,0.91,D7G
601,F,9/11/1966,5,777.00,1059.87,812.93,590.46,147.58,738.04,1.13,2DQ
601,M,9/17/1966,5,1045.62,1209.58,1093.19,911.62,81.17,992.79,1.11,23Q
601,F,3/7/1967,5,433.08,386.89,431.96,309.16,152.08,461.24,0.91,D7G
601,M,4/8/1967,5,1149.79,843.29,1145.40,1175.57,81.17,1256.74,0.91,D7G
601,M,7/21/1967,5,2530.25,3962.57,3023.43,2583.97,183.28,2767.25,1.10,1AC
601,M,7/22/1967,5,1264.95,1224.83,1261.14,1049.02,147.58,1196.60,1.06,6NS
601,M,8/2/1967,5,2277.18,2978.78,2720.61,2135.64,166.07,2301.71,1.20,5JO
601,M,10/5/1967,5,1246.60,1698.43,1307.18,1173.38,179.58,1352.96,0.96,MPY
601,F,1/27/1968,5,954.84,598.67,952.65,789.21,147.58,936.79,1.02,ZHK
601,F,2/20/1968,5,724.15,675.11,723.15,589.57,175.98,765.55,0.93,AUR
601,F,2/27/1968,5,393.99,383.76,393.98,270.83,147.58,418.41,0.91,JRZ
601,M,12/25/1968,5,2211.31,3335.49,2642.68,2087.60,313.61,2401.21,1.12,IE8
601,F,2/8/1969,5,358.74,342.41,358.09,232.53,147.58,380.11,0.91,D7G
601,F,3/26/1969,5,699.25,805.11,732.24,575.97,175.98,751.95,0.97,PUY
601,F,8/27/1969,5,791.67,1117.71,831.19,582.55,171.48,754.03,1.13,096
601,F,9/6/1969,5,1147.91,1177.71,1174.99,979.33,175.98,1155.31,1.02,ZHK
601,F,2/25/1970,5,1974.44,2735.18,2361.58,1921.93,227.98,2149.91,1.11,23Q
601,F,4/30/1970,5,919.84,781.86,918.89,851.94,143.79,995.73,0.91,JRZ
601,M,5/9/1970,5,2173.41,1656.39,2164.86,2301.69,81.17,2382.86,0.91,D7G
601,F,6/14/1970,5,782.62,645.87,779.82,694.92,147.58,842.50,0.91,JRZ
601,M,7/19/1970,5,309.13,251.73,308.68,149.68,150.58,300.26,1.06,3YN
601,F,10/16/1970,5,616.52,529.20,615.57,443.07,147.58,590.65,1.06,3YN
601,M,12/20/1970,5,403.02,720.80,422.74,280.69,147.58,428.27,0.98,0UZ
601,M,4/27/1971,5,1298.64,1270.12,1293.37,1260.15,152.57,1412.72,0.91,D7G
601,M,5/29/1971,5,670.33,1333.10,701.61,548.92,171.48,720.40,0.97,PUY
601,F,9/21/1971,5,2951.03,2188.05,2941.63,3026.51,201.77,3228.28,0.91,D7G
601,F,11/9/1972,5,1028.80,1254.41,1078.19,959.03,156.58,1115.61,0.96,MPY
601,M,3/16/1973,5,872.09,1093.40,912.59,636.49,195.38,831.87,1.13,2DQ
601,M,6/15/1973,5,787.08,647.06,784.49,646.46,101.67,748.13,1.06,3YN
601,M,6/28/1973,5,931.39,808.39,928.07,935.51,81.17,1016.68,0.91,D7G
601,F,7/9/1973,5,831.70,895.08,872.80,726.17,171.48,897.65,0.97,PUY
601,F,9/25/1973,5,1433.31,855.98,1428.84,1415.31,147.58,1562.89,0.91,D7G
601,M,10/2/1973,5,849.24,782.59,848.57,726.80,128.97,855.77,0.99,Z20
601,M,3/13/1974,5,641.07,1168.69,670.23,590.21,40.59,630.80,1.07,BA2
601,M,7/10/1974,5,944.21,1774.30,990.70,912.22,114.07,1026.29,0.96,MPY
601,M,8/14/1974,5,1882.44,2636.43,1976.28,1981.89,81.17,2063.06,0.96,Z2D
601,F,9/21/1975,5,1908.55,1805.37,1902.18,1515.03,293.95,1808.98,1.06,6NS
601,M,9/23/1975,5,862.53,883.58,880.68,785.98,147.58,933.56,0.93,QHK
601,F,10/23/1975,5,1423.58,1611.79,1494.58,1217.95,128.97,1346.92,1.12,I85
601,M,12/26/1975,5,1137.34,1161.64,1156.98,1026.41,204.38,1230.79,0.93,AUR
601,M,7/14/1976,5,635.29,828.43,665.31,536.08,147.58,683.66,0.97,PUY
