Age,AnnualIncome,FamilyMembers,ChronicDiseases,Employment Type,GraduateOrNot,FrequentFlyer,EverTravelledAbroad,purchase_probability,recommended_contact
33,1100000,4,1,Government Sector,Yes,No,No,0.3272413177924958,False
32,850000,3,0,Government Sector,Yes,No,No,0.3695489135812655,False
29,1200000,4,0,Private Sector/Self Employed,Yes,No,No,0.29045375178318844,False
28,300000,6,0,Government Sector,No,No,No,0.10992228621049609,False
27,500000,6,1,Government Sector,Yes,No,No,0.13134872438796805,False
33,1400000,6,1,Private Sector/Self Employed,Yes,No,Yes,0.8704705789376316,True
34,700000,7,1,Private Sector/Self Employed,Yes,No,No,0.8980574748849564,True
27,500000,4,1,Government Sector,Yes,No,No,0.38044688951785544,False
26,1500000,3,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9820647999502685,True
28,800000,5,0,Private Sector/Self Employed,Yes,No,No,0.06986410134480622,False
28,600000,4,1,Government Sector,Yes,No,No,0.1714853471587341,False
27,500000,5,0,Government Sector,Yes,No,No,0.1603179468608338,False
29,350000,4,0,Private Sector/Self Employed,Yes,No,No,0.25670878203446246,False
34,700000,3,1,Private Sector/Self Employed,Yes,No,No,0.2807488040311671,False
28,300000,6,0,Government Sector,No,No,No,0.10992228621049609,False
34,1500000,5,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9723013013837789,True
30,800000,3,0,Private Sector/Self Employed,No,No,No,0.3952664550257635,False
28,600000,5,0,Government Sector,Yes,No,No,0.14397442186473147,False
29,500000,7,0,Private Sector/Self Employed,Yes,No,No,0.5423338785453364,True
35,950000,3,0,Private Sector/Self Employed,No,No,No,0.40453978297418464,False
31,950000,6,0,Private Sector/Self Employed,Yes,No,No,0.2762759389191547,False
28,800000,5,0,Private Sector/Self Employed,Yes,Yes,No,0.12713189105245615,False
32,350000,3,0,Government Sector,Yes,No,No,0.2054422647763764,False
25,1400000,6,0,Private Sector/Self Employed,Yes,Yes,Yes,0.934221376970308,True
27,500000,5,0,Government Sector,Yes,No,No,0.1603179468608338,False
27,850000,6,0,Government Sector,Yes,No,No,0.3241416514064605,False
25,1400000,4,0,Private Sector/Self Employed,Yes,No,Yes,0.9559184773251391,True
31,400000,6,0,Government Sector,Yes,No,No,0.062259118401182326,False
27,500000,5,0,Government Sector,Yes,No,No,0.1603179468608338,False
28,1200000,4,0,Private Sector/Self Employed,Yes,No,No,0.20475699244031795,False
29,1100000,7,0,Private Sector/Self Employed,Yes,No,No,0.39693812078338425,False
31,1500000,5,1,Government Sector,Yes,Yes,Yes,0.894083927259742,True
29,1200000,7,0,Private Sector/Self Employed,Yes,No,Yes,0.3952607223826046,False
29,500000,2,0,Private Sector/Self Employed,Yes,No,No,0.2601927262262,False
34,1000000,4,0,Private Sector/Self Employed,Yes,No,No,0.4676584663695326,False
34,500000,7,0,Private Sector/Self Employed,Yes,No,No,0.7981723873850889,True
28,750000,4,0,Private Sector/Self Employed,Yes,No,No,0.31925190207107784,False
32,900000,4,1,Government Sector,Yes,No,No,0.34408226948714976,False
35,800000,7,0,Private Sector/Self Employed,No,No,No,0.8031061103465582,True
28,750000,6,0,Private Sector/Self Employed,Yes,Yes,No,0.08149731386548406,False
28,1150000,6,0,Private Sector/Self Employed,Yes,No,No,0.23837942382175714,False
26,500000,7,1,Government Sector,Yes,No,No,0.1872465100856428,False
32,350000,3,0,Government Sector,Yes,No,No,0.2054422647763764,False
28,300000,7,0,Government Sector,Yes,No,No,0.29550910975663003,False
28,300000,4,0,Government Sector,Yes,No,No,0.17820132877215245,False
34,1300000,5,1,Government Sector,Yes,No,No,0.2685066116173837,False
31,1200000,3,0,Government Sector,Yes,No,No,0.30306088787171664,False
31,1200000,6,0,Government Sector,Yes,No,No,0.22205098549187918,False
31,500000,4,1,Private Sector/Self Employed,Yes,No,No,0.30416048409144286,False
30,550000,5,1,Private Sector/Self Employed,No,No,No,0.5059287526489973,True
29,1050000,7,1,Private Sector/Self Employed,Yes,No,No,0.38930909850237794,False
27,350000,4,1,Private Sector/Self Employed,No,No,No,0.10659627531132006,False
29,1050000,3,1,Private Sector/Self Employed,Yes,Yes,No,0.10577054621350515,False
30,550000,5,0,Private Sector/Self Employed,No,No,No,0.30865095778479135,False
27,1050000,3,0,Government Sector,Yes,Yes,No,0.3449358148849332,False
34,1500000,6,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9793560264732963,True
30,1450000,5,1,Private Sector/Self Employed,No,Yes,Yes,0.9489386053121847,True
29,600000,4,1,Private Sector/Self Employed,Yes,No,No,0.2503480392463561,False
26,450000,3,0,Private Sector/Self Employed,Yes,No,No,0.14555370489225453,False
33,1000000,4,1,Government Sector,Yes,No,No,0.31251345759335797,False
30,550000,3,0,Private Sector/Self Employed,No,No,No,0.4106620345699322,False
29,1050000,6,1,Private Sector/Self Employed,Yes,No,Yes,0.33293208164492044,False
25,1700000,5,1,Private Sector/Self Employed,No,Yes,No,0.7495951797973077,True
34,1050000,4,0,Private Sector/Self Employed,Yes,No,No,0.38502779239348833,False
27,500000,4,0,Government Sector,Yes,No,No,0.3847571100538936,False
28,900000,4,0,Private Sector/Self Employed,Yes,No,No,0.3254815623788977,False
28,1150000,4,1,Private Sector/Self Employed,Yes,No,No,0.17593545814273628,False
25,1150000,4,0,Private Sector/Self Employed,No,No,No,0.2728426683702591,False
34,1000000,4,1,Private Sector/Self Employed,Yes,No,No,0.41154470012663735,False
29,1200000,4,0,Private Sector/Self Employed,Yes,No,No,0.29045375178318844,False
28,1200000,4,0,Private Sector/Self Employed,Yes,No,No,0.20475699244031795,False
32,850000,4,0,Government Sector,Yes,No,No,0.11085831374014395,False
29,900000,7,0,Private Sector/Self Employed,Yes,No,No,0.5425959893892847,True
28,1150000,3,0,Private Sector/Self Employed,Yes,Yes,No,0.18347170450640216,False
32,850000,7,1,Government Sector,Yes,No,No,0.34640222200454746,False
34,1000000,6,1,Private Sector/Self Employed,Yes,No,No,0.906586050016127,True
26,600000,5,0,Private Sector/Self Employed,Yes,No,No,0.26557777524642906,False
34,1050000,6,0,Private Sector/Self Employed,Yes,No,No,0.9130954323351312,True
27,1050000,6,1,Government Sector,Yes,No,No,0.2110467845383948,False
34,1500000,6,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9793560264732963,True
31,1500000,3,0,Government Sector,Yes,Yes,Yes,0.9358540422114195,True
33,1400000,5,1,Private Sector/Self Employed,Yes,Yes,Yes,0.925019632246719,True
35,600000,9,0,Private Sector/Self Employed,No,No,No,0.6833272728408339,True
28,1450000,4,0,Private Sector/Self Employed,Yes,Yes,Yes,0.956645254803504,True
29,1100000,7,0,Private Sector/Self Employed,Yes,Yes,No,0.15673120435197688,False
29,1100000,5,0,Private Sector/Self Employed,Yes,Yes,No,0.1258679906889858,False
26,1250000,4,0,Private Sector/Self Employed,Yes,No,No,0.31988867809753957,False
28,1100000,3,0,Private Sector/Self Employed,Yes,No,No,0.2451927350373369,False
34,1500000,3,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9815432934502502,True
29,1100000,3,0,Private Sector/Self Employed,Yes,No,No,0.3790391468171371,False
29,600000,3,0,Private Sector/Self Employed,Yes,No,No,0.39049820260112866,False
33,1100000,2,0,Government Sector,Yes,No,No,0.3046663092698026,False
28,750000,3,1,Private Sector/Self Employed,Yes,No,No,0.2538922723989731,False
28,700000,4,0,Private Sector/Self Employed,Yes,No,No,0.2602374146181823,False
29,1050000,4,0,Private Sector/Self Employed,Yes,No,No,0.39317229052185004,False
35,900000,6,1,Government Sector,Yes,No,No,0.778705811486121,True
34,1300000,4,0,Government Sector,Yes,No,No,0.36994992985646546,False
32,850000,4,0,Government Sector,Yes,Yes,No,0.19617981536849805,False
28,500000,5,0,Private Sector/Self Employed,Yes,No,No,0.2660218307331377,False
27,500000,3,1,Government Sector,Yes,No,No,0.27034544408921646,False
31,400000,6,1,Government Sector,Yes,No,No,0.06391071745492308,False
32,850000,3,1,Government Sector,Yes,No,No,0.18732864374716937,False
26,500000,6,0,Private Sector/Self Employed,Yes,No,No,0.2102375194798497,False
34,700000,7,0,Private Sector/Self Employed,Yes,No,No,0.8461230132027499,True
28,600000,3,0,Government Sector,Yes,No,No,0.3855358624464513,False
27,1050000,5,0,Government Sector,Yes,Yes,No,0.22128420829548998,False
28,800000,4,0,Private Sector/Self Employed,Yes,No,No,0.2782590310267018,False
34,1000000,4,1,Private Sector/Self Employed,Yes,No,No,0.41154470012663735,False
30,1450000,3,1,Private Sector/Self Employed,No,Yes,Yes,0.9407295464550626,True
28,300000,3,1,Government Sector,Yes,No,No,0.2925025083579672,False
29,1100000,3,0,Private Sector/Self Employed,Yes,No,No,0.3790391468171371,False
26,600000,6,0,Private Sector/Self Employed,Yes,Yes,No,0.14600761395395026,False
31,1350000,5,0,Private Sector/Self Employed,Yes,No,Yes,0.9564748014218651,True
31,1400000,3,1,Private Sector/Self Employed,Yes,No,Yes,0.8994931057306649,True
33,750000,5,0,Private Sector/Self Employed,Yes,No,No,0.34334017689807395,False
28,1200000,5,1,Government Sector,Yes,No,No,0.2960314326486927,False
33,1400000,3,0,Private Sector/Self Employed,Yes,No,Yes,0.9422586240318991,True
35,800000,2,0,Private Sector/Self Employed,No,No,Yes,0.341402379460232,False
25,1700000,5,1,Private Sector/Self Employed,No,Yes,Yes,0.8447453843957876,True
27,1000000,3,0,Private Sector/Self Employed,No,No,No,0.2625328189113546,False
32,350000,3,0,Government Sector,Yes,No,No,0.2054422647763764,False
28,550000,4,0,Private Sector/Self Employed,Yes,No,No,0.20981502588183382,False
29,600000,3,1,Private Sector/Self Employed,Yes,No,No,0.23858984922584153,False
28,800000,4,1,Private Sector/Self Employed,Yes,No,No,0.30635337653121675,False
26,1400000,3,0,Private Sector/Self Employed,Yes,No,Yes,0.9445076015189477,True
26,600000,4,0,Private Sector/Self Employed,Yes,No,No,0.19804384767886696,False
29,1050000,4,0,Private Sector/Self Employed,Yes,No,No,0.39317229052185004,False
28,750000,6,0,Private Sector/Self Employed,Yes,Yes,No,0.08149731386548406,False
29,1200000,4,0,Private Sector/Self Employed,Yes,No,No,0.29045375178318844,False
26,600000,4,1,Private Sector/Self Employed,Yes,No,No,0.3158913975437965,False
28,1350000,3,0,Private Sector/Self Employed,Yes,No,Yes,0.9730389042202887,True
35,1100000,8,0,Government Sector,Yes,Yes,No,0.8474573401461867,True
32,350000,5,0,Government Sector,Yes,No,No,0.060441917728845836,False
31,1350000,3,0,Private Sector/Self Employed,Yes,No,Yes,0.9776357027356487,True
28,600000,4,0,Government Sector,Yes,No,No,0.15581385401483552,False
28,1250000,6,1,Private Sector/Self Employed,Yes,No,No,0.1735813669430184,False
35,800000,3,1,Private Sector/Self Employed,No,No,No,0.4032211582750659,False
33,1400000,3,0,Private Sector/Self Employed,Yes,No,Yes,0.9422586240318991,True
29,1050000,5,1,Private Sector/Self Employed,Yes,No,No,0.3322125314184582,False
29,1050000,4,0,Private Sector/Self Employed,Yes,No,No,0.39317229052185004,False
31,400000,2,0,Government Sector,Yes,No,No,0.06312433943949851,False
30,800000,5,0,Private Sector/Self Employed,No,No,No,0.4074338924433489,False
28,600000,5,0,Private Sector/Self Employed,Yes,No,Yes,0.18967979285091413,False
33,600000,4,0,Government Sector,Yes,No,No,0.33480539523553804,False
31,1300000,5,1,Government Sector,Yes,No,No,0.38996117891286247,False
31,1300000,5,0,Government Sector,Yes,No,No,0.24481291962091511,False
25,1700000,3,0,Private Sector/Self Employed,Yes,Yes,No,0.9688361748322473,True
29,1050000,3,1,Private Sector/Self Employed,Yes,Yes,No,0.10577054621350515,False
33,700000,2,0,Government Sector,Yes,No,No,0.2745503664067589,False
34,500000,7,1,Private Sector/Self Employed,Yes,No,No,0.8705043776012725,True
28,600000,4,0,Government Sector,Yes,No,No,0.15581385401483552,False
28,300000,6,0,Government Sector,Yes,No,No,0.28595474778771757,False
28,550000,6,0,Private Sector/Self Employed,Yes,No,Yes,0.2058606957657291,False
34,1300000,5,1,Government Sector,Yes,No,No,0.2685066116173837,False
26,1400000,6,0,Private Sector/Self Employed,Yes,No,Yes,0.9823508622282818,True
34,1300000,3,0,Private Sector/Self Employed,Yes,No,Yes,0.3928402343706374,False
26,1400000,4,1,Private Sector/Self Employed,Yes,No,Yes,0.9287278225223298,True
34,1300000,4,0,Government Sector,Yes,No,No,0.36994992985646546,False
27,1050000,5,0,Government Sector,Yes,Yes,No,0.22128420829548998,False
31,1400000,6,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9562861650804659,True
31,1400000,4,0,Private Sector/Self Employed,Yes,No,Yes,0.9745437257002674,True
32,800000,6,1,Government Sector,Yes,No,No,0.305686824173984,False
28,600000,2,0,Government Sector,Yes,Yes,No,0.31907833877119346,False
26,1500000,6,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9505811667580386,True
28,300000,6,0,Government Sector,Yes,No,No,0.28595474778771757,False
33,1000000,7,1,Government Sector,Yes,No,No,0.8792763050421745,True
26,1500000,6,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9505811667580386,True
32,650000,5,0,Government Sector,Yes,No,No,0.2450123100976799,False
33,400000,4,0,Government Sector,Yes,No,No,0.08500963876033443,False
29,900000,4,0,Private Sector/Self Employed,Yes,No,No,0.2841986821307606,False
28,1100000,4,1,Private Sector/Self Employed,Yes,Yes,No,0.20225784872020525,False
31,400000,6,0,Government Sector,Yes,No,No,0.062259118401182326,False
30,800000,3,0,Private Sector/Self Employed,No,No,No,0.3952664550257635,False
34,700000,5,0,Private Sector/Self Employed,Yes,No,No,0.4859154505955812,False
33,1500000,5,1,Private Sector/Self Employed,Yes,Yes,Yes,0.9585559156526864,True
26,450000,7,0,Private Sector/Self Employed,Yes,No,No,0.2658940670631913,False
26,600000,5,0,Private Sector/Self Employed,Yes,No,No,0.26557777524642906,False
34,700000,7,1,Private Sector/Self Employed,Yes,No,No,0.8980574748849564,True
28,1200000,6,1,Government Sector,Yes,No,No,0.18121652547555114,False
27,1050000,5,1,Government Sector,Yes,No,No,0.42132395584548393,False
28,600000,5,0,Government Sector,Yes,No,Yes,0.26967638003555555,False
28,800000,5,0,Private Sector/Self Employed,Yes,Yes,No,0.12713189105245615,False
27,1550000,7,0,Private Sector/Self Employed,No,Yes,No,0.863242611481909,True
33,800000,3,0,Government Sector,Yes,No,No,0.26068076833287396,False
28,1250000,4,0,Private Sector/Self Employed,Yes,No,No,0.24512154911800618,False
28,1200000,8,0,Government Sector,Yes,Yes,No,0.42048466074350976,False
31,500000,8,0,Private Sector/Self Employed,Yes,No,No,0.4607847969533133,False
25,1400000,6,0,Private Sector/Self Employed,Yes,Yes,Yes,0.934221376970308,True
34,1000000,5,0,Private Sector/Self Employed,Yes,No,No,0.20737869770582662,False
25,500000,6,0,Private Sector/Self Employed,Yes,No,No,0.3180327640631811,False
29,1200000,5,1,Private Sector/Self Employed,Yes,No,No,0.3290192955027309,False
33,600000,3,0,Government Sector,Yes,No,No,0.43107038494336186,False
28,1200000,9,0,Private Sector/Self Employed,Yes,No,No,0.2460786336872003,False
25,1400000,5,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9186757278866888,True
35,800000,5,0,Private Sector/Self Employed,No,No,No,0.3543198595741752,False
29,500000,5,0,Private Sector/Self Employed,Yes,No,No,0.39214908649864333,False
29,1200000,3,1,Private Sector/Self Employed,Yes,No,Yes,0.4859124030643167,False
28,550000,5,0,Private Sector/Self Employed,Yes,No,No,0.1572465044110066,False
34,1500000,5,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9723013013837789,True
28,1450000,5,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9729572300635191,True
29,1750000,6,0,Private Sector/Self Employed,Yes,No,No,0.536716078542422,True
34,1000000,5,1,Private Sector/Self Employed,Yes,Yes,No,0.28371110003110683,False
34,1300000,6,0,Private Sector/Self Employed,Yes,No,No,0.884444185033017,True
25,1700000,5,0,Private Sector/Self Employed,No,Yes,No,0.9294818217431116,True
28,500000,5,1,Private Sector/Self Employed,Yes,No,No,0.595984462497319,True
27,350000,5,1,Private Sector/Self Employed,No,No,No,0.13823974002412195,False
31,500000,6,0,Private Sector/Self Employed,Yes,No,No,0.3361631335570971,False
28,1450000,4,0,Private Sector/Self Employed,Yes,Yes,Yes,0.956645254803504,True
28,300000,6,1,Government Sector,No,No,No,0.05744770104190952,False
33,1000000,5,0,Government Sector,Yes,No,No,0.19570010128277054,False
26,600000,6,1,Private Sector/Self Employed,Yes,No,No,0.2572823543585291,False
33,400000,9,1,Government Sector,Yes,No,No,0.7091662466769064,True
25,1150000,8,0,Private Sector/Self Employed,No,Yes,No,0.24666574358558027,False
25,1700000,4,1,Private Sector/Self Employed,Yes,Yes,No,0.902424439171847,True
29,900000,5,0,Private Sector/Self Employed,Yes,No,No,0.16198335945129533,False
31,1250000,5,1,Private Sector/Self Employed,Yes,No,No,0.2636385984765649,False
31,900000,3,0,Private Sector/Self Employed,Yes,No,No,0.24760861017290897,False
27,450000,7,0,Private Sector/Self Employed,No,No,No,0.1221115290743336,False
34,1050000,6,0,Private Sector/Self Employed,Yes,No,Yes,0.7583054789866581,True
28,1200000,3,0,Private Sector/Self Employed,Yes,No,No,0.3095154749462133,False
26,1500000,4,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9652630805019679,True
26,1500000,4,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9652630805019679,True
30,1450000,3,1,Private Sector/Self Employed,No,Yes,Yes,0.9407295464550626,True
26,1300000,5,0,Private Sector/Self Employed,Yes,No,No,0.39102634448708334,False
34,1500000,2,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9815432934502502,True
32,900000,4,0,Government Sector,Yes,Yes,No,0.19548936342251821,False
30,650000,4,0,Private Sector/Self Employed,No,No,No,0.3186254135681438,False
28,300000,8,0,Government Sector,Yes,No,No,0.23794217039483215,False
27,750000,3,0,Government Sector,Yes,No,No,0.3582363304302387,False
27,850000,5,0,Government Sector,Yes,No,No,0.21295466326952983,False
35,950000,6,0,Private Sector/Self Employed,No,Yes,No,0.8068893301742908,True
28,550000,5,1,Private Sector/Self Employed,Yes,No,No,0.36106329932349135,False
25,1400000,3,1,Private Sector/Self Employed,Yes,Yes,Yes,0.9399727169229601,True
25,1400000,3,0,Private Sector/Self Employed,Yes,No,Yes,0.9171727772637265,True
33,1400000,2,1,Private Sector/Self Employed,Yes,No,Yes,0.8923868674179423,True
31,1750000,7,0,Private Sector/Self Employed,Yes,No,No,0.5787019752849472,True
33,400000,7,1,Government Sector,Yes,No,No,0.7181308744010337,True
29,600000,4,0,Private Sector/Self Employed,Yes,Yes,No,0.38957114686234173,False
30,1450000,7,0,Private Sector/Self Employed,No,Yes,Yes,0.962071123994511,True
28,1100000,4,1,Private Sector/Self Employed,Yes,No,No,0.361639398765496,False
34,700000,2,0,Private Sector/Self Employed,Yes,Yes,No,0.33257677619451775,False
28,550000,6,1,Private Sector/Self Employed,Yes,No,No,0.19511858785820346,False
27,850000,5,0,Government Sector,Yes,No,No,0.21295466326952983,False
31,1400000,4,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9504109720593172,True
28,700000,4,1,Private Sector/Self Employed,Yes,No,No,0.3381942190586182,False
26,1400000,4,0,Private Sector/Self Employed,Yes,No,Yes,0.9760001316514222,True
34,1300000,6,0,Private Sector/Self Employed,Yes,No,No,0.884444185033017,True
28,300000,4,0,Government Sector,Yes,No,No,0.17820132877215245,False
26,1250000,5,0,Private Sector/Self Employed,Yes,No,No,0.42404204762973735,False
29,500000,8,0,Private Sector/Self Employed,Yes,No,No,0.4940205864744409,False
31,1250000,5,1,Private Sector/Self Employed,Yes,No,No,0.2636385984765649,False
31,400000,4,1,Government Sector,No,No,No,0.03584446469555507,False
27,350000,4,0,Private Sector/Self Employed,No,No,No,0.06630547325526093,False
28,1100000,6,0,Private Sector/Self Employed,Yes,No,No,0.1907436030893286,False
34,1000000,6,0,Private Sector/Self Employed,Yes,No,No,0.9214417673630244,True
26,1400000,5,0,Private Sector/Self Employed,Yes,No,Yes,0.9881463897138205,True
34,1500000,4,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9798939354563418,True
27,500000,8,0,Government Sector,Yes,No,No,0.12933794202919338,False
35,950000,9,0,Private Sector/Self Employed,No,No,No,0.8089693933242721,True
29,1200000,5,0,Private Sector/Self Employed,Yes,No,No,0.2959848650803967,False
25,600000,4,0,Private Sector/Self Employed,No,Yes,No,0.10906591107165761,False
26,550000,5,0,Government Sector,Yes,No,No,0.3696347917689311,False
26,1400000,4,1,Private Sector/Self Employed,Yes,No,Yes,0.9287278225223298,True
29,350000,9,1,Private Sector/Self Employed,Yes,No,No,0.33733743957113255,False
28,300000,3,1,Government Sector,Yes,No,No,0.2925025083579672,False
31,400000,7,0,Government Sector,Yes,No,No,0.07893916194492118,False
27,850000,4,1,Government Sector,Yes,Yes,Yes,0.377122329123884,False
25,1150000,4,0,Private Sector/Self Employed,No,No,No,0.2728426683702591,False
28,1150000,4,0,Private Sector/Self Employed,Yes,No,No,0.1845254994822408,False
27,850000,5,0,Government Sector,Yes,Yes,No,0.18167339013979616,False
25,1400000,3,0,Private Sector/Self Employed,Yes,No,Yes,0.9171727772637265,True
32,800000,9,0,Government Sector,Yes,No,Yes,0.5448441938351699,True
31,1300000,4,1,Government Sector,Yes,No,No,0.39513545155917684,False
28,700000,4,0,Private Sector/Self Employed,Yes,No,No,0.2602374146181823,False
25,1150000,5,0,Private Sector/Self Employed,No,Yes,No,0.158591292222918,False
25,1150000,3,1,Private Sector/Self Employed,No,No,No,0.2361924074672868,False
31,300000,3,0,Government Sector,No,No,No,0.024553216844635767,False
34,1000000,3,1,Private Sector/Self Employed,Yes,No,No,0.23868028692572266,False
29,1200000,9,0,Private Sector/Self Employed,Yes,No,No,0.3319047704357214,False
32,850000,3,0,Government Sector,Yes,No,No,0.3695489135812655,False
31,1250000,4,0,Private Sector/Self Employed,Yes,No,No,0.40570611393360134,False
25,1400000,3,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9383367944053697,True
34,1300000,3,0,Private Sector/Self Employed,Yes,No,No,0.20991372779834844,False
28,750000,5,0,Private Sector/Self Employed,Yes,No,No,0.1257545626314812,False
