state,county,year,practiceArea,injuryType,resultType,amount,is_verdict,log_amount,source,description
Illinois,,2026,Other,Wrongful Death,verdict,52182059.0,1,17.770249315621072,News,$52.2 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.
New Jersey,,2026,Medical Malpractice,Other,verdict,46700000.0,1,17.6592547440524,News,$46.7 million jury verdict in a medical malpractice case in New Jersey . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Car Accident,Other,settlement,45000000.0,0,17.622173069956816,News,$45.0 million settlement in a car accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Car Accident,Burns,settlement,35000000.0,0,17.370858648025116,News,Car Accident settlement of $35 million in Illinois.
New York,,2026,Car Accident,Traumatic Brain Injury,verdict,32756156.0,1,17.30460150237575,News,Verdict in a Long Island case for a Vietnam veteran who suffered severe life-threatening head injuries after he was hit by a driver impaired on drugs.
New Jersey,,2026,Medical Malpractice,Other,verdict,28600000.0,1,17.168917310755116,News,$28.6 million jury verdict in a medical malpractice case in New Jersey . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Other,Wrongful Death,verdict,28000000.0,1,17.147715103853763,News,$28.0 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.
New York,,2026,Workplace Injury,Other,settlement,25000000.0,0,17.034386422832473,News,"$25,000,000 settlement in a third party work injury case for a crane operator who sustained serious injuries after a construction site fall."
Illinois,,2026,Workplace Injury,Other,verdict,25000000.0,1,17.034386422832473,News,Verdict for severe injuries to a railroad worker in a yard.
New Jersey,,2026,Other,Other,settlement,25000000.0,0,17.034386422832473,News,$25.0 million settlement in New Jersey . The plaintiff sustained personal injury and was awarded damages.
Texas,,2026,Car Accident,Wrongful Death,settlement,23291950.72,0,16.9636184391223,News,"HERRMAN & HERRMAN PERSONAL INJURY CASE RESULTS Herrman & Herrman P.L.L.C., has represented thousands of clients with serious injuries."
Illinois,,2026,Car Accident,Wrongful Death,verdict,22000000.0,1,16.906553056777135,News,Teenager in stolen vehicle crashed into decedent's car during high-speed police pursuit on Chicago's West Side.
Illinois,,2026,Other,Other,verdict,21059014.0,1,16.862839292446196,News,$21.1 million jury verdict in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Other,Other,settlement,20648337.0,0,16.843145389870784,News,$20.6 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Other,Wrongful Death,settlement,20500000.0,0,16.835935492889124,News,$20.5 million settlement in Illinois . The plaintiff sustained wrongful death and was awarded damages.
New York,,2026,Car Accident,Other,verdict,20181484.0,1,16.8202761578929,News,"$20,181,484 verdict for a man injured in a head-on collision caused by icy road conditions in Westchester County."
Illinois,,2026,Other,Other,settlement,19500000.0,0,16.785925074816024,News,$19.5 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Truck Accident,Other,verdict,17900000.0,1,16.700311326676903,News,$17.9 million jury verdict in a truck accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Other,Other,settlement,17675000.0,0,16.687661826323996,News,$17.7 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Bus Accident,Wrongful Death,verdict,17650000.0,1,16.6862463980008,News,"Read more Nursing Home Neglect $17.65 Million We represented the family of “Mary,” a 52-year-old woman with multiple sclerosis who entered a nursing home for full-time care. Tragically, over the next several years, Mary endured severe and ongoing neglect. She was frequently left sitting in her own w."
Illinois,,2026,Medical Malpractice,Wrongful Death,verdict,17000000.0,1,16.648723960844016,News,Verdict for the wrongful death of an infant due to medical malpractice.
Illinois,,2026,Other,Other,settlement,15750000.0,0,16.572350986727976,News,$15.8 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Other,Other,verdict,15228068.0,1,16.538650927601132,News,$15.2 million jury verdict in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Medical Malpractice,Traumatic Brain Injury,verdict,15000000.0,1,16.52356082573315,News,"Read more Child Medical Malpractice $15 Million A 3 year-old boy was seen by two medical providers with a high fever yet he was discharged without any proper care and sent home. Two days later, the child fell into a coma from fluid buildup on his brain, suffered a stroke and was diagnosed with menin."
New York,,2026,Other,Wrongful Death,settlement,15000000.0,0,16.52356082573315,News,"$15,000,000 settlement in a wrongful death case for the surviving wife and five children of an HVAC technician who tragically died in an on-the-job accident."
New Jersey,,2026,Other,Other,verdict,14596000.0,1,16.496258145050394,News,$14.6 million jury verdict in New Jersey . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Other,Other,settlement,14500000.0,0,16.489659276356317,News,$14.5 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Medical Malpractice,Other,verdict,14000000.0,1,16.454567959008102,News,Medical Malpractice jury verdict of $14 million in Illinois.
New York,,2026,Truck Accident,Other,settlement,14000000.0,0,16.454567959008102,News,"$14,000,000 settlement in a Nassau County case for a 23-year-old man who suffered serious injuries after being hit by a truck while riding his motorcycle."
New Jersey,,2026,Medical Malpractice,Other,verdict,14000000.0,1,16.454567959008102,News,Trial Verdict; Medical Malpractice / Wrongful Birth.
New York,,2026,Car Accident,Traumatic Brain Injury,settlement,13500000.0,0,16.41820031748273,News,"$13,500,000 settlement for a woman who sustained Traumatic Brain Injury and multiple fractures after she was hit by a car while she was walking home at night. This is the highest reported personal injury settlement in Suffolk County."
Illinois,,2026,Medical Malpractice,Other,settlement,13000000.0,0,16.380459992348886,News,Settlement for birth injury caused by medical negligence during childbirth.
Illinois,,2026,Workplace Injury,Other,settlement,12560000.0,0,16.346027798622156,News,$12.6 million settlement in a workplace injury case in Illinois . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Truck Accident,Wrongful Death,settlement,12500000.0,0,16.341239282272525,News,"$27,500,000 verdict for a pedestrian struck by a bus. The pedestrian suffered the loss of her leg. This is the largest verdict for such an injury in New York State history."
Illinois,,2026,Other,Wrongful Death,settlement,12250000.0,0,16.32103657658766,News,Settlement for fatal railroad crossing accident involving negligence by railway operator.
Illinois,,2026,Truck Accident,Other,verdict,12208791.0,1,16.31766690589353,News,$12.2 million jury verdict in a truck accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Other,Other,settlement,12043500.0,0,16.304035736307323,News,$12.0 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Truck Accident,Wrongful Death,settlement,12000000.0,0,16.300417291085605,News,"Motor Vehicle Accidents $12 Million Our client’s wife was fatally struck by an 18-wheeler after her vehicle stalled on the road. While she was stopped with her hazard lights on, the truck driver failed to pay attention and never braked before colliding and killing our client’s wife. Our le."
New York,,2026,Other,Other,settlement,12000000.0,0,16.300417291085605,News,"$12,000,000 settlement for a victim who suffered serious neurologic and orthopedic injuries after an accident on the job in Manhattan."
New York,,2026,Other,Other,settlement,11638000.0,0,16.269786250124167,News,$11.6 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Workplace Injury,Other,settlement,11500000.0,0,16.257857680289998,News,"$11,500,000 settlement for a 35-year-old union construction worker who suffered injuries, including complex regional pain syndrome in his wrist, in a defective saw accident."
Illinois,,2026,Truck Accident,Wrongful Death,settlement,11500000.0,0,16.257857680289998,News,Settlement for fatal truck accident and severe injuries to mother and toddler after insurer’s bad faith negotiations.
Illinois,,2026,Other,Wrongful Death,verdict,11250000.0,1,16.23587877550359,News,$11.3 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.
New Jersey,,2026,Car Accident,Other,settlement,11175000.0,0,16.229189787949363,News,On a cumulative total of in five cases settled for occupants injured in unsafe cars.
Illinois,,2026,Other,Other,settlement,11050000.0,0,16.21794107642577,News,$11.1 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Other,Other,settlement,11000000.0,0,16.213405921671733,News,"$11,000,000 settlement in a Brooklyn case for a masonry foreman who was injured when he stepped on an unsecured temporary cover placed over a hole and fell three stories to the basement below."
Illinois,,2026,Truck Accident,Other,settlement,11000000.0,0,16.213405921671733,News,$11.0 million settlement in a truck accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Car Accident,Other,settlement,10800000.0,0,16.195056784687036,News,$10.8 million settlement in a car accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Truck Accident,Wrongful Death,settlement,10750000.0,0,16.190416405561198,News,"$26,000,000 settlement for the family of a 35-year-old woman who was a pedestrian struck and killed by a truck on 6th Ave. in Manhattan. This is believed to be the largest settlement in the history of New York for the wrongful death of one individual."
New York,,2026,Truck Accident,Wrongful Death,settlement,10500000.0,0,16.166885910365842,News,"$10,500,000 settlement in a wrongful death case for a union laborer who suffered fatal injuries when a defective saw he was provided kicked back and struck his neck."
New Jersey,,2026,Other,Wrongful Death,verdict,10500000.0,1,16.166885910365842,News,Other case in New Jersey. Wrongful Death resulting in a $10.5M award.
Illinois,,2026,Bus Accident,Wrongful Death,verdict,10000000.0,1,16.118095750958314,News,"Civil Rights $10 Million Shortly before 2 a.m., two Columbus, Ohio police officers responded to a non-emergency call about a parked car. At the same time, our client, a 47-year-old Black Lives Matter activist, was walking home from a friend’s house with his cell phone illuminated. The offi."
New York,,2026,Other,Spinal Cord Injury,verdict,9792412.0,1,16.09711846013239,News,"$9,792,412 verdict in a Bronx case for a man who suffered a stroke during surgery and suffered left arm and partial left foot paralysis."
Louisiana,,2026,Premises Liability,Back Injury,verdict,9342355.87,1,16.05006911991401,CourtListener,"B&P agreed to pay $2,500 in liquidated damages for each calendar day that the project was inexcusably delayed in meeting substantial completion."
New York,,2026,Car Accident,Back Injury,settlement,9263326.0,0,16.041573829351172,News,"$9,263,326 settlement for a taxi passenger who sustained lumbar spinal injuries and knee injuries after he was rear-ended by another vehicle."
Illinois,,2026,Other,Other,settlement,9000000.0,0,16.012735246411598,News,"Defective Medical Devices $9 Million Transvaginal mesh devices were not tested in women before receiving FDA approval. Because of this, many women that were treated with this device have suffered severe and even life-threatening complications. Our attorneys successfully group set."
Texas,,2026,Car Accident,Other,verdict,9000000.0,1,16.012735246411598,News,$9.0 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Other,Other,settlement,9000000.0,0,16.012735246411598,News,"$9,000,000 settlement for a high school student who required multiple surgeries to his arm and elbow after he was injured when a wall collapsed on him."
New York,,2026,Pedestrian Accident,Traumatic Brain Injury,settlement,8800000.0,0,15.990262393084793,News,"$8,800,000 settlement for Queens woman who suffered a brain injury after a serious pedestrian accident."
New York,,2026,Other,Other,settlement,8300000.0,0,15.931766193248746,News,$8.3 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Other,Other,settlement,8000000.0,0,15.894952224644102,News,$8.0 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Premises Liability,Wrongful Death,verdict,8000000.0,1,15.894952224644102,News,Read more Premises Liability $8 Million We represented the family of a 48-year-old who was shot and killed by a security guard outside of a gas station. Our unarmed client got into an argument with the security over loud music when the situation escalated and the guard killed him. Read more.
New Jersey,,2026,Truck Accident,Traumatic Brain Injury,settlement,7982000.0,0,15.892699689872693,News,Settlement; Motor Vehicle Accident; Collision with Truck; Brain Injury.
New York,,2026,Car Accident,Wrongful Death,settlement,7525000.0,0,15.83374150148957,News,"$7,525,000 settlement in a wrongful death case for survivors of a tragic car crash that killed a mother and her son in Suffolk County."
New Jersey,,2026,Workplace Injury,Other,verdict,7346000.0,1,15.809666641490246,News,Verdict; Medical Negligence; Construction Accident.
New York,,2026,Workplace Injury,Broken Bones,settlement,7300000.0,0,15.803385043104912,News,"$7,300,000 settlement for a worker who sustained an arm amputation after a serious on-the-job accident in Brooklyn."
Illinois,,2026,Medical Malpractice,Burns,verdict,7250000.0,1,15.796512164761882,News,"Medical Malpractice $7.25 Million Our client, 13, was hospitalized due to behavior issues and administered Lamictal and Latuda daily with an increased dosage. He began showing signs of a severe reaction to the medication and yet the facility increased the dosage. Our client was subsequentl."
New Jersey,,2026,Medical Malpractice,Other,settlement,7250000.0,0,15.796512164761882,News,Settlement; Medical Malpractice; Failure to Diagnose & Treat Pneumothorax.
New York,,2026,Premises Liability,Wrongful Death,settlement,7000000.0,0,15.76142084987672,News,Premises Liability settlement of $7 million in New York.
Illinois,,2026,Other,Wrongful Death,verdict,7000000.0,1,15.76142084987672,News,Verdict for the wrongful death of a young Chicago student.
New Jersey,,2026,Other,Spinal Cord Injury,settlement,7000000.0,0,15.76142084987672,News,Settlement; Aviation Accident Resulting in Paralysis.
Michigan,,2026,Medical Malpractice,Traumatic Brain Injury,verdict,7000000.0,1,15.76142084987672,News,Hospital mismanagement of newborn after delivery caused cerebral palsy.
New York,,2026,Other,Other,verdict,6793881.0,1,15.731533059285718,News,"$6,793,881 verdict for a client with internal injuries after a work accident at a Brooklyn water treatment plant."
New York,,2026,Other,Other,settlement,6500000.0,0,15.687312888712007,News,"$6,500,000 settlement for a union mechanic who was injured when a catwalk collapsed, causing him to fall 18-20 feet at a Manhattan work site."
New Jersey,,2026,Medical Malpractice,Traumatic Brain Injury,settlement,6500000.0,0,15.687312888712007,News,Settlement; Medical Malpractice; Birth Injury; Cerebral Palsy.
North Carolina,NC (statewide list),2026,Truck Accident,Wrongful Death,settlement,6500000.0,0,15.687312888712007,NC Lawyers Weekly,Wrongful death settlement after a runaway trailer detached and killed a driver in a head-on crash on a North Carolina road.
New York,,2026,Workplace Injury,Traumatic Brain Injury,settlement,6400000.0,0,15.671808704579888,News,"$6,400,000 settlement in a Bronx case for a union ironworker who fell approximately 30 feet and suffered multiple injuries, including fractures, post-concussion syndrome, and bulging discs."
New York,,2026,Workplace Injury,Spinal Cord Injury,settlement,6250000.0,0,15.648092181712572,News,Settlement for a construction worker who suffered complete quadriplegia after a worksite fall.
New York,,2026,Other,Other,settlement,6080000.0,0,15.620515418416021,News,$6.1 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Premises Liability,Wrongful Death,settlement,6000000.0,0,15.607270193858982,News,Premises Liability settlement of $6 million in New York.
Illinois,,2026,Bus Accident,Other,settlement,6000000.0,0,15.607270193858982,News,"Read more Sex Abuse $6 Million Peter (name changed to protect privacy) was a young member of his local Boy Scouts troop when he was sexually abused by his scoutmaster. Over several years, the scoutmaster groomed him through gifts, dinners, and by stepping into a father-figure role at a time when Pet."
New Jersey,,2026,Medical Malpractice,Other,settlement,6000000.0,0,15.607270193858982,News,Medical Malpractice case in New Jersey. Other resulting in a $6.0M award.
Texas,,2026,Car Accident,Other,verdict,5920000.0,1,15.593847175779093,News,$5.9 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.
New Jersey,,2026,Medical Malpractice,Back Injury,settlement,5900000.0,0,15.59046307836746,News,Settlement; Medical Malpractice; Improperly Discontinued Antibiotic Therapy.
Illinois,,2026,Car Accident,Other,settlement,5600000.0,0,15.53827733427679,News,Settlement for pre-teen boy left quadriplegic after car crash.
New York,,2026,Other,Wrongful Death,settlement,5500000.0,0,15.520258832020865,News,Other settlement of $5.5 million in New York.
Illinois,,2026,Other,Other,settlement,5500000.0,0,15.520258832020865,News,Settlement for a medical negligence case.
North Carolina,Mecklenburg,2026,Car Accident,Traumatic Brain Injury,settlement,5490000.0,0,15.518438995635059,NC Lawyers Weekly,"Recovery for a retired couple injured in a crash on I-485 in the Charlotte area; one spouse sustained a traumatic brain injury with hemorrhage and a vertebral fracture, the other multiple rib fractures with pneumothorax."
Illinois,,2026,Other,Other,settlement,5250000.0,0,15.473738825043979,News,Settlement for patients affected by defective medical devices.
New York,,2026,Workplace Injury,Back Injury,verdict,5030572.0,1,15.431044452088925,News,"$5,030,572 verdict for a laborer who was hurt when a scaffold tipped over; a groundbreaking case involving the use of 3D video of a back surgery as evidence for the jury."
New York,,2026,Medical Malpractice,Other,verdict,5000000.0,1,15.424948670398354,News,Medical Malpractice jury verdict of $5 million in New York.
Illinois,,2026,Medical Malpractice,Wrongful Death,verdict,5000000.0,1,15.424948670398354,News,"Medical Malpractice $5 Million Our client, 34, was hospitalized due to a miscarriage resulting in a lot of blood loss. She required several blood transfusions and was then discharged home that same evening. Once home, she continued not to feel well, fever and felt faint so she returned to."
Texas,,2026,Car Accident,Wrongful Death,verdict,5000000.0,1,15.424948670398354,News,$5.0 million jury verdict in a car accident case in Texas . The plaintiff sustained wrongful death and was awarded damages.
New Jersey,,2026,Medical Malpractice,Traumatic Brain Injury,verdict,5000000.0,1,15.424948670398354,News,Trial Verdict; Medical Malpractice; Negligent Postoperative Care; Brain Injury.
New York,,2026,Workplace Injury,Other,settlement,4995000.0,0,15.423948170264971,News,"$4,995,000 settlement for a laborer who sustained elbow and ankle injuries in a construction site fall caused by unsteady flooring."
New Jersey,,2026,Other,Burns,settlement,4800000.0,0,15.38412668421143,News,$4.8 million settlement in New Jersey . The plaintiff sustained burns and was awarded damages.
Illinois,,2026,Medical Malpractice,Back Injury,settlement,4750000.0,0,15.373655386537118,News,"Read more Medical Malpractice $4.75 Million Denise (name changed to protect client) delivered her child with no complications, however it was later discovered that her doctor failed to diagnose her kidney damage before the birth. As a result of this medical malpractice, she suffered a heart attack."
New York,,2026,Truck Accident,Other,settlement,4750000.0,0,15.373655386537118,News,"$4,750,000 settlement for a 51-year-old union worker who was struck by an NYC sanitation vehicle, leading to various injuries that required multiple surgeries."
New Jersey,,2026,Medical Malpractice,Other,settlement,4750000.0,0,15.373655386537118,News,Confidential Settlement; Medical Malpractice; Labor & Delivery Negligence.
New Jersey,,2026,Other,Other,settlement,4600000.0,0,15.341567078850604,News,Other case in New Jersey. Other resulting in a $4.6M award.
Illinois,,2026,Medical Malpractice,Traumatic Brain Injury,settlement,4590000.0,0,15.339390799901627,News,"Medical Malpractice $4.5 Million Our client arrived at the hospital in active labor at 40 weeks, and her baby was delivered later that evening. Although meconium was present at birth, hospital staff failed to act or monitor the newborn appropriately. Soon after, the mother noticed her baby was unusu."
Illinois,,2026,Medical Malpractice,Wrongful Death,verdict,4550000.0,1,15.330638010707329,News,$4.5 million jury verdict in a medical malpractice case in Illinois . The plaintiff sustained wrongful death and was awarded damages.
New York,,2026,Premises Liability,Wrongful Death,settlement,4500000.0,0,15.319588176962746,News,"$5,500,000 settlement on behalf of the family of a man killed in the Pan Am 103 plane crash, which occurred in Lockerbie, Scotland."
New York,,2026,Other,Other,settlement,4375000.0,0,15.291417306345254,News,$4.4 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Medical Malpractice,Wrongful Death,settlement,4290000.0,0,15.271797524004405,News,"Read more Medical Malpractice $4.29 Million Emily (name changed to protect client) went to the hospital complaining of chest pains. She was admitted, but the hospital released her after a couple days without fully investigating the source of her pain. This client still had chest pains when she retur."
New York,,2026,Premises Liability,Wrongful Death,settlement,4200000.0,0,15.250595321348806,News,"Recovery to the widow of a Citibank employee who was killed in a plane crash in Brazil. The case was brought in New York against the foreign airline and the plane manufacturer. $4,500,000 recovery for victims of a defective diet drug."
New Jersey,,2026,Car Accident,Other,settlement,4197000.0,0,15.249880780581128,News,$4.2 million settlement in a car accident case in New Jersey . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Premises Liability,Wrongful Death,settlement,4000000.0,0,15.201805169084134,News,"$7,000,000 settlement on behalf of five people who suffered leg injuries in an elevator accident caused by negligent maintenance of the elevator support cable."
Illinois,,2026,Medical Malpractice,Wrongful Death,settlement,4000000.0,0,15.201805169084134,News,"Read more Medical Malpractice $4 Million Helen (name changed to protect client) went to the hospital to have a tracheotomy removed. After the procedure, she was observed for five minutes and released. Her son went to get his car to pick her up and when he got to her, she had collapsed. She was taken."
New York,,2026,Truck Accident,Wrongful Death,settlement,3975000.0,0,15.195535557642865,News,"$5,000,000 settlement in a construction accident case for a construction worker who fell from the roof of a building during a construction project and miraculously sustained only leg fractures."
New Jersey,,2026,Medical Malpractice,Other,settlement,3950000.0,0,15.18922639004183,News,Medical Malpractice case in New Jersey. Other resulting in a $4.0M award.
New York,,2026,Truck Accident,Wrongful Death,settlement,3925000.0,0,15.182877163975684,News,"Verdict in a construction accident case in New York County on behalf of a laborer who suffered burns after falling into a pit of scalding water. $3,975,000 settlement in New York County for a man who fell from a truck and was impaled by a piece of Rebar."
New York,,2026,Other,Other,settlement,3913000.0,0,15.179815156750912,News,$3.9 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
New Jersey,,2026,Car Accident,Wrongful Death,settlement,3750000.0,0,15.137266664613225,News,Settlement; Motor Vehicle Accident; Auto Product Liability; Wrongful Death.
New Jersey,,2026,Medical Malpractice,Other,settlement,3700000.0,0,15.123843647884687,News,Settlement; Medical Malpractice; Failure to Timely Diagnose and Treat Spinal Hematoma; Confidential Settlement.
Texas,,2026,Motorcycle Accident,Other,verdict,3650000.0,1,15.11023799953124,News,$3.6 million jury verdict in a motorcycle accident case in Texas . The plaintiff sustained personal injury and was awarded damages.
New Jersey,,2026,Workplace Injury,Other,settlement,3650000.0,0,15.11023799953124,News,$3.6 million settlement in a workplace injury case in New Jersey . The plaintiff sustained personal injury and was awarded damages.
Texas,,2026,Car Accident,Other,verdict,3600000.0,1,15.096444681204078,News,$3.6 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Pedestrian Accident,Back Injury,settlement,3500000.0,0,15.068273812173887,News,"$3,500,000 settlement for a pedestrian who suffered hypothermia and herniated discs after falling 13 feet into an electrical vault."
New Jersey,,2026,Medical Malpractice,Other,settlement,3500000.0,0,15.068273812173887,News,Settlement; Medical Malpractice; Brachial Plexus Injury During Birth; Erbs Palsy.
New York,,2026,Other,Other,settlement,3479000.0,0,15.062255741572956,News,$3.5 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
Ohio,,2026,Medical Malpractice,Wrongful Death,settlement,3461349.73,0,15.05716945524681,CourtListener,"Based upon the jury’s verdict and the application of the statutory damages cap, the total judgment entered by the trial court against Avon Place amounted to $3,461."
Illinois,,2026,Medical Malpractice,Broken Bones,settlement,3350000.0,0,15.024471202308668,News,Medical Malpractice $3.3 Million Anna (name changed to protect client) had lasting health issues from childhood lymphoma. She was admitted to the hospital with leg pain which was wrongly attributed to neuralgia. Anna did not receive medical care until the next day when her legs were already turning.
New York,,2026,Truck Accident,Broken Bones,verdict,3258000.0,1,14.99662437508085,News,"$3,258,000 verdict for a 38-year-old delivery driver who suffered fractures as a result of being struck by a forklift."
New Jersey,,2026,Medical Malpractice,Spinal Cord Injury,settlement,3250000.0,0,14.99416586199818,News,Settlement; Medical Malpractice; Paraplegia Caused by Epidural Hematoma.
Illinois,,2026,Medical Malpractice,Spinal Cord Injury,settlement,3200000.0,0,14.978661680269907,News,"Medical Malpractice $3.2 Million Daniel (name changed to protect client) went to the hospital because he was light-headed. While there, he developed MERSA and bedsores due to the hospital’s negligence. He also is paralyzed from the waist down to a bedsore on his spine. This is a case of medical malp."
New York,,2026,Workplace Injury,Back Injury,settlement,3200000.0,0,14.978661680269907,News,"$3,200,000 settlement for a 50-year-old worker who suffered shoulder, elbow, and spine injuries when he fell after stepping on a scaffold plank that was not properly secured."
New Jersey,,2026,Medical Malpractice,Broken Bones,settlement,3100000.0,0,14.946912992035967,News,Settlement; Medical Malpractice; Failure to Diagnose Spinal Fracture; Contraindicated Medication.
New York,,2026,Car Accident,Wrongful Death,settlement,3000000.0,0,14.914123179965662,News,$3.0 million settlement in a car accident case in New York . The plaintiff sustained wrongful death and was awarded damages.
Illinois,,2026,Other,Back Injury,settlement,3000000.0,0,14.914123179965662,News,Civil Rights $3 Million Our client was wrongfully convicted of homicide and spent over two decades in prison. New evidence disclosed a key witness provided false testimony.
Texas,,2026,Pedestrian Accident,Wrongful Death,verdict,3000000.0,1,14.914123179965662,News,$3.0 million jury verdict in a pedestrian accident case in Texas . The plaintiff sustained wrongful death and was awarded damages.
New Jersey,,2026,Premises Liability,Other,settlement,2975000.0,0,14.905754933096265,News,Settlement; Premises Liability; Hazardous Condition of a Raquetball Court.
New York,,2026,Truck Accident,Wrongful Death,settlement,2950000.0,0,14.897316067298997,News,$3.0 million settlement in a truck accident case in New York . The plaintiff sustained wrongful death and was awarded damages.
New York,,2026,Other,Other,settlement,2909250.0,0,14.883406217701467,News,$2.9 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.
Nevada,Clark,2026,Car Accident,Traumatic Brain Injury,verdict,2900000.0,1,14.88022163978423,Courtroom View Network trial coverage,"A driver intoxicated on alcohol and cannabis sped over a median in his Ford F-150 and struck a minivan carrying Autumn Carver and her four children. Carver claimed a severe traumatic brain injury among other injuries. Eighth Judicial District Court jury awarded just over $2.7 million in compensatory damages plus $200,000 punitive in January 2026, approximately $2.9 million total."
New Jersey,,2026,Other,Spinal Cord Injury,settlement,2850000.0,0,14.862829903121964,News,Settlement; Ice Hockey Accident Results in Paraplegia Injury.
Illinois,,2026,Other,Wrongful Death,settlement,2800000.0,0,14.845130332288226,News,Settlement for the wrongful death of a woman scalded by excessively hot water in the shower.
New Jersey,,2026,Medical Malpractice,Other,settlement,2800000.0,0,14.845130332288226,News,$2.8 million settlement in a medical malpractice case in New Jersey . The plaintiff sustained personal injury and was awarded damages.
