months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,auto_year,policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,property_damage,police_report_available,auto_make,fraud_reported
196,39,2000,1475.73,0,57000,-27300,8,3,2,0,2014,IN,500/1000,FEMALE,High School,handlers-cleaners,camping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,?,NO,Nissan,0
460,62,1000,1187.96,4000000,0,0,20,3,1,0,2011,IN,250/500,MALE,JD,other-service,bungie-jumping,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,NO,?,Suburu,0
217,41,2000,875.15,0,46700,0,15,3,1,2,1996,IL,500/1000,FEMALE,Associate,machine-op-inspct,skydiving,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,?,?,Accura,0
370,55,2000,972.18,0,72700,-68200,20,3,0,0,2000,IL,100/300,MALE,High School,prof-specialty,paintball,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,NO,YES,Suburu,1
413,55,2000,1268.79,0,0,-31000,15,1,2,2,2011,IN,100/300,MALE,MD,priv-house-serv,chess,own-child,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,?,?,Dodge,1
237,40,1000,883.31,0,0,-53500,6,1,1,3,2005,IN,100/300,MALE,College,craft-repair,kayaking,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,NO,NO,Ford,0
8,35,2000,1266.92,0,0,0,16,3,1,3,2006,OH,100/300,MALE,Masters,sales,polo,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,NO,YES,Ford,1
257,43,2000,1322.1,0,0,-29200,4,1,1,3,2005,IN,100/300,MALE,High School,prof-specialty,golf,own-child,Parked Car,?,Minor Damage,Police,PA,Arlington,YES,YES,Toyota,0
202,34,500,848.07,3000000,31000,-30200,5,1,2,1,2003,IN,100/300,MALE,JD,exec-managerial,chess,not-in-family,Vehicle Theft,?,Minor Damage,,VA,Northbrook,YES,?,Suburu,1
224,40,2000,1291.7,0,0,-55600,21,1,1,0,2009,OH,100/300,FEMALE,JD,sales,kayaking,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,NO,YES,Dodge,0
241,45,2000,1104.5,0,0,0,5,1,2,2,2011,IL,500/1000,FEMALE,PhD,machine-op-inspct,basketball,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,NO,NO,Accura,0
64,25,1000,954.16,0,53200,0,22,4,0,0,2005,IL,250/500,MALE,Masters,prof-specialty,video-games,husband,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,NO,?,Toyota,0
166,37,2000,1337.28,8000000,27500,0,10,3,2,2,2006,IL,100/300,MALE,JD,craft-repair,reading,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,NO,?,Ford,1
155,35,1000,1088.34,0,81100,0,16,3,2,3,2008,IL,500/1000,FEMALE,Associate,adm-clerical,yachting,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,YES,NO,BMW,0
114,30,1000,1558.29,0,51400,-64000,1,3,1,2,2015,IL,100/300,MALE,High School,farming-fishing,video-games,wife,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,NO,?,Suburu,0
149,37,500,1415.68,0,0,0,17,1,0,1,1999,IL,500/1000,MALE,PhD,prof-specialty,yachting,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,YES,YES,Audi,0
147,33,1000,1334.15,6000000,53300,-49200,15,1,2,0,1995,OH,100/300,MALE,High School,craft-repair,reading,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,YES,YES,Mercedes,1
62,28,1000,988.45,0,0,0,3,1,1,1,2004,IL,100/300,FEMALE,Masters,protective-serv,camping,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,?,YES,Suburu,1
289,49,2000,1222.48,0,0,0,16,1,1,1,2001,IL,500/1000,FEMALE,JD,priv-house-serv,golf,unmarried,Parked Car,?,Minor Damage,,WV,Arlington,NO,YES,Suburu,0
431,54,2000,1155.55,0,65700,0,4,3,2,0,2007,IN,500/1000,FEMALE,MD,craft-repair,bungie-jumping,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,?,?,Jeep,0
199,37,500,1262.08,0,48500,0,4,1,0,3,2011,IN,250/500,MALE,JD,tech-support,video-games,wife,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,?,NO,Nissan,1
79,26,500,1451.62,0,0,-55700,19,1,2,2,2010,IL,100/300,MALE,Associate,tech-support,kayaking,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,NO,?,BMW,0
116,34,500,1737.66,0,0,-24100,1,1,1,1,2001,IN,250/500,MALE,Associate,transport-moving,chess,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,?,?,BMW,1
37,23,500,1475.93,0,0,-67400,17,3,1,0,2010,IL,500/1000,FEMALE,College,prof-specialty,hiking,husband,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,YES,NO,Dodge,0
106,30,500,538.17,0,49700,-60200,23,1,2,2,2005,OH,250/500,FEMALE,PhD,transport-moving,reading,own-child,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,NO,NO,Mercedes,0
269,44,2000,1081.08,0,36400,-28700,14,1,0,2,2014,IL,100/300,MALE,JD,priv-house-serv,reading,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,YES,?,Toyota,0
265,40,1000,1454.43,0,0,0,17,3,2,3,2002,IL,250/500,FEMALE,MD,protective-serv,yachting,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,NO,?,Accura,0
163,33,500,1240.47,0,35300,0,11,3,1,1,2014,IN,100/300,FEMALE,Associate,other-service,polo,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,YES,?,Honda,0
355,47,2000,1273.7,4000000,0,0,19,3,2,1,2003,OH,500/1000,MALE,College,other-service,kayaking,husband,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,NO,NO,Audi,1
175,34,1000,1123.87,8000000,0,0,5,1,2,0,1995,IN,500/1000,FEMALE,PhD,protective-serv,dancing,other-relative,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,?,YES,Volkswagen,0
192,35,1000,1245.89,0,0,-40300,19,1,0,0,2000,IL,100/300,FEMALE,Masters,exec-managerial,movies,wife,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,NO,?,Mercedes,0
430,59,2000,1326.62,7000000,0,0,19,3,0,3,1998,OH,250/500,MALE,MD,other-service,bungie-jumping,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,?,YES,Nissan,0
91,27,2000,1073.83,0,0,0,4,1,1,2,2008,IL,100/300,FEMALE,JD,farming-fishing,polo,husband,Vehicle Theft,?,Trivial Damage,,NY,Arlington,?,?,BMW,0
217,39,1000,1530.52,0,0,0,8,1,2,1,2000,IN,100/300,MALE,College,armed-forces,basketball,not-in-family,Vehicle Theft,?,Minor Damage,,WV,Northbend,?,YES,Toyota,0
223,40,500,1201.41,0,88400,-46500,7,3,1,0,1999,IN,100/300,FEMALE,JD,priv-house-serv,movies,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,YES,?,Suburu,0
195,39,1000,1393.57,0,47600,-39600,5,1,0,1,2009,OH,250/500,MALE,PhD,machine-op-inspct,movies,not-in-family,Parked Car,?,Minor Damage,Police,VA,Northbend,NO,YES,Ford,0
22,26,1000,1276.57,0,71500,0,3,1,1,2,1995,OH,100/300,MALE,PhD,craft-repair,skydiving,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,YES,NO,Chevrolet,0
439,56,500,1082.49,0,36100,-55000,12,3,2,3,2014,IN,250/500,FEMALE,PhD,prof-specialty,chess,unmarried,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,?,?,Honda,0
94,32,1000,1414.74,0,0,0,19,1,1,3,2014,IN,500/1000,FEMALE,Masters,adm-clerical,hiking,own-child,Parked Car,?,Minor Damage,,VA,Riverwood,NO,NO,Chevrolet,0
11,39,2000,1470.06,0,56600,-45800,22,1,0,1,2007,IL,250/500,MALE,PhD,other-service,yachting,husband,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,YES,NO,Saab,0
151,36,2000,870.63,0,94800,-58500,12,3,1,1,2000,OH,250/500,FEMALE,MD,adm-clerical,kayaking,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,NO,NO,Ford,0
154,34,500,795.23,0,36900,0,15,3,2,1,2014,IN,100/300,MALE,PhD,machine-op-inspct,base-jumping,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,YES,?,Nissan,1
245,44,1000,1168.2,0,69100,0,23,3,0,3,1997,IL,500/1000,MALE,JD,handlers-cleaners,basketball,husband,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,NO,NO,Honda,0
119,32,1000,993.51,0,0,-49500,12,1,0,3,2011,IL,500/1000,MALE,High School,armed-forces,bungie-jumping,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,NO,YES,BMW,0
215,42,500,1848.81,0,0,-49000,20,3,2,2,2003,OH,500/1000,MALE,JD,transport-moving,video-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,YES,YES,Suburu,1
295,42,2000,1641.73,5000000,62400,0,16,3,0,0,2006,OH,250/500,MALE,PhD,sales,chess,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,NO,NO,Ford,1
254,39,500,1362.87,0,35700,0,6,3,2,2,1995,IN,100/300,FEMALE,MD,exec-managerial,chess,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,YES,NO,Dodge,1
107,31,500,1239.22,7000000,43400,-91200,12,1,0,1,2009,IN,250/500,FEMALE,High School,tech-support,paintball,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,YES,NO,Audi,1
478,64,500,835.02,0,59600,0,17,3,1,1,1998,OH,250/500,FEMALE,Associate,adm-clerical,reading,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,NO,NO,BMW,0
128,30,1000,1061.33,0,43300,-66200,8,1,0,3,1997,OH,100/300,MALE,MD,machine-op-inspct,movies,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,NO,NO,Audi,0
338,49,1000,1279.08,0,0,-51500,13,1,0,1,2004,IN,500/1000,MALE,MD,other-service,kayaking,own-child,Parked Car,?,Minor Damage,,NC,Riverwood,NO,?,Ford,0
271,42,500,1105.49,0,56200,-50000,12,2,2,3,2003,OH,100/300,FEMALE,Associate,prof-specialty,sleeping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,?,?,Audi,1
222,41,2000,1055.53,0,37800,-50300,7,1,0,2,1995,OH,100/300,FEMALE,MD,armed-forces,cross-fit,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,NO,NO,Honda,1
199,41,1000,895.83,0,0,0,10,1,1,2,1999,OH,250/500,FEMALE,Associate,sales,paintball,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,NO,NO,Chevrolet,0
215,37,500,1632.93,0,0,-42900,7,3,2,0,2002,IN,100/300,FEMALE,College,transport-moving,golf,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,NO,YES,Mercedes,0
192,40,1000,1405.99,0,0,0,18,3,1,0,2005,IL,100/300,FEMALE,Associate,sales,yachting,wife,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,YES,YES,BMW,0
120,35,1000,1425.54,0,78300,0,22,3,2,0,2010,OH,100/300,FEMALE,High School,transport-moving,bungie-jumping,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,NO,NO,Ford,0
270,45,1000,1038.09,0,0,-19700,18,3,1,1,1998,OH,500/1000,FEMALE,College,handlers-cleaners,golf,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,NO,YES,Suburu,0
319,47,500,1307.11,0,0,0,22,3,0,2,2005,IN,250/500,MALE,College,transport-moving,dancing,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,NO,?,Audi,0
194,39,1000,1489.24,6000000,0,-45000,15,1,2,2,2004,OH,500/1000,FEMALE,JD,other-service,kayaking,wife,Vehicle Theft,?,Minor Damage,,SC,Springfield,YES,YES,Saab,0
227,38,500,976.67,0,0,0,16,1,1,2,2013,OH,500/1000,FEMALE,PhD,handlers-cleaners,polo,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,?,?,BMW,1
137,31,2000,1340.43,0,52700,-40600,6,3,1,2,2005,OH,250/500,MALE,High School,exec-managerial,paintball,husband,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,NO,NO,Accura,0
244,40,2000,1267.81,5000000,0,0,10,1,2,1,2005,OH,500/1000,FEMALE,Masters,exec-managerial,video-games,wife,Vehicle Theft,?,Trivial Damage,,NC,Northbrook,?,?,Accura,0
78,29,1000,1234.2,6000000,0,0,3,1,2,2,2002,IL,250/500,MALE,Masters,other-service,bungie-jumping,other-relative,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,YES,NO,Nissan,0
200,35,2000,1318.06,0,57300,-80600,13,1,0,3,2002,IN,250/500,MALE,High School,exec-managerial,video-games,wife,Vehicle Theft,?,Trivial Damage,,VA,Hillsdale,NO,YES,Volkswagen,0
284,48,2000,769.95,0,0,-44200,16,2,2,3,2013,IN,500/1000,MALE,Masters,prof-specialty,movies,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,?,NO,Audi,1
275,41,2000,1514.72,0,35700,0,13,3,0,1,2007,OH,100/300,MALE,High School,transport-moving,board-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,YES,?,Suburu,0
153,34,1000,873.64,4000000,800,0,9,3,2,1,2007,IL,500/1000,FEMALE,Associate,priv-house-serv,yachting,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,NO,?,Ford,0
134,32,500,1612.43,0,36400,0,2,1,2,1,2015,IL,500/1000,FEMALE,MD,other-service,yachting,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,?,YES,BMW,0
31,36,2000,1318.24,9000000,0,-78600,9,1,0,1,2002,IL,500/1000,FEMALE,College,prof-specialty,kayaking,not-in-family,Parked Car,?,Trivial Damage,,WV,Arlington,NO,YES,Dodge,0
41,25,1000,1226.83,0,0,-56100,12,3,2,0,2011,IN,100/300,FEMALE,College,exec-managerial,exercise,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,YES,?,Accura,1
127,29,2000,1326.44,5000000,0,0,12,2,1,1,1995,OH,250/500,FEMALE,High School,sales,board-games,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,YES,?,Saab,0
61,23,2000,1136.83,4000000,0,-62400,14,1,0,3,2004,IL,250/500,FEMALE,Associate,tech-support,exercise,own-child,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,NO,?,Honda,1
207,42,2000,1322.78,0,55200,0,9,1,0,1,2007,IL,250/500,MALE,PhD,farming-fishing,yachting,own-child,Parked Car,?,Trivial Damage,,WV,Springfield,NO,NO,BMW,0
219,43,1000,1483.25,0,90700,-20800,3,3,1,1,2009,IN,100/300,FEMALE,MD,exec-managerial,exercise,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,NO,?,Ford,0
271,42,500,1515.3,0,0,0,21,3,1,0,2005,IL,100/300,FEMALE,High School,machine-op-inspct,hiking,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,NO,NO,Mercedes,0
80,25,2000,1075.18,5000000,67700,-58400,5,1,2,0,2001,IL,100/300,FEMALE,PhD,armed-forces,exercise,husband,Vehicle Theft,?,Minor Damage,,OH,Northbrook,NO,YES,Toyota,0
325,47,1000,1690.27,0,61500,0,11,1,0,3,2006,IN,500/1000,FEMALE,Associate,protective-serv,hiking,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,YES,NO,Dodge,1
29,25,2000,1352.83,0,0,-71700,4,4,1,2,2013,IL,250/500,MALE,Masters,farming-fishing,skydiving,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,YES,YES,Nissan,1
295,48,1000,1148.73,0,0,0,6,1,1,2,1999,OH,250/500,FEMALE,College,machine-op-inspct,kayaking,wife,Parked Car,?,Trivial Damage,,WV,Columbus,?,YES,Saab,0
239,42,1000,969.5,0,0,0,10,1,0,0,2007,IL,100/300,MALE,College,exec-managerial,reading,not-in-family,Vehicle Theft,?,Trivial Damage,,NC,Northbrook,NO,?,Audi,0
269,41,500,1463.82,0,0,-72300,23,1,0,0,2007,IN,100/300,FEMALE,College,protective-serv,yachting,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,YES,?,Saab,0
80,27,1000,1474.17,0,0,0,13,1,1,0,2004,IL,100/300,FEMALE,College,tech-support,exercise,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,YES,YES,Saab,0
279,41,500,1497.35,0,37300,-31700,16,3,2,3,2013,IL,250/500,FEMALE,JD,prof-specialty,bungie-jumping,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,?,NO,Ford,0
165,33,1000,1427.14,0,35300,-58100,3,1,1,1,2008,OH,100/300,FEMALE,Associate,tech-support,kayaking,other-relative,Parked Car,?,Minor Damage,Police,WV,Northbend,NO,NO,Toyota,0
350,54,500,1495.1,0,50500,0,15,3,0,0,2014,OH,500/1000,MALE,College,other-service,basketball,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,NO,?,Chevrolet,0
295,49,500,1141.62,0,34300,-24300,4,1,1,3,2002,IL,100/300,MALE,College,prof-specialty,kayaking,husband,Vehicle Theft,?,Minor Damage,,WV,Columbus,YES,YES,Mercedes,0
464,61,1000,1125.37,0,0,-56400,6,3,0,2,2000,OH,500/1000,FEMALE,Associate,prof-specialty,basketball,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,?,YES,Saab,1
118,28,2000,1207.36,0,0,-57000,22,2,1,0,1997,IN,500/1000,FEMALE,High School,handlers-cleaners,camping,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,NO,?,Volkswagen,0
298,47,2000,1338.5,0,28800,0,1,1,0,0,2000,IL,500/1000,FEMALE,PhD,machine-op-inspct,basketball,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,?,?,Saab,1
87,31,1000,1074.07,0,0,-47500,16,3,0,3,2006,IN,500/1000,FEMALE,Masters,sales,chess,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Springfield,NO,YES,Nissan,1
261,42,500,1337.56,0,0,0,18,1,1,2,2010,OH,250/500,FEMALE,College,prof-specialty,video-games,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,?,YES,Dodge,0
453,60,500,1298.91,6000000,52600,-38800,0,1,0,0,2015,IN,100/300,MALE,PhD,craft-repair,dancing,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,Springfield,YES,?,Ford,1
210,41,500,1222.75,0,0,-41000,12,3,2,0,2001,IL,500/1000,MALE,High School,exec-managerial,polo,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,?,NO,BMW,0
168,32,1000,1059.52,0,0,-40600,13,2,1,1,2007,IN,100/300,MALE,MD,protective-serv,camping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Hillsdale,?,?,Saab,0
390,51,2000,1124.38,0,0,0,9,1,1,1,2001,OH,250/500,MALE,Associate,armed-forces,reading,other-relative,Vehicle Theft,?,Minor Damage,,VA,Northbrook,YES,YES,Ford,0
258,46,1000,1110.37,10000000,34400,-56800,14,3,0,1,1997,IN,100/300,MALE,MD,machine-op-inspct,hiking,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Riverwood,NO,?,Accura,1
107,31,2000,1374.22,0,62000,-63100,16,1,0,3,2002,IL,500/1000,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Hillsdale,NO,NO,Suburu,0
225,41,2000,1103.58,0,41200,-36200,20,3,2,2,2011,OH,500/1000,MALE,High School,exec-managerial,exercise,unmarried,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,Northbend,?,NO,Toyota,1
164,38,2000,1269.76,0,44300,0,4,1,1,3,2015,IL,250/500,FEMALE,PhD,transport-moving,yachting,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Hillsdale,NO,YES,Ford,0
245,39,500,964.79,8000000,58000,0,7,3,0,1,2010,OH,250/500,FEMALE,Associate,adm-clerical,camping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,?,?,BMW,0
255,41,2000,1167.3,4000000,0,0,22,1,2,0,2000,IL,500/1000,MALE,High School,priv-house-serv,board-games,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Hillsdale,NO,?,Volkswagen,0
206,36,500,1625.45,4000000,0,-53700,11,1,2,1,2008,IL,500/1000,FEMALE,MD,other-service,video-games,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbrook,NO,NO,Ford,1
203,38,500,1394.43,0,0,0,7,1,0,1,1999,IL,250/500,FEMALE,Masters,other-service,skydiving,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,Columbus,?,YES,Nissan,1
22,25,2000,1053.24,0,51100,0,0,4,1,0,1995,OH,250/500,FEMALE,College,prof-specialty,movies,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,YES,NO,Accura,0
211,35,500,1040.75,0,0,0,1,1,1,1,2011,IL,100/300,FEMALE,JD,prof-specialty,paintball,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,YES,?,BMW,0
206,39,1000,1302.4,6000000,47200,-69700,12,3,2,3,2013,IN,250/500,MALE,JD,craft-repair,dancing,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,NO,YES,Ford,0
